run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,test_078.png,closing,0.5,3,0.83015,0.97319,1,1,-1
A_dice_s0,A_dice,test_078.png,closing,0.75,4,0.82264,0.96731,0,2,-2
A_dice_s0,A_dice,test_078.png,closing,1.0,6,0.80736,0.95849,1,4,-4
A_dice_s0,A_dice,test_078.png,closing,1.5,9,0.7769,0.9442,0,7,-7
A_dice_s0,A_dice,test_078.png,closing,2.0,12,0.34551,0.35764,0,61,-61
A_dice_s0,A_dice,test_078.png,bridge_only,0.0,0,0.84083,0.98033,0,1,1
A_dice_s0,A_dice,test_078.png,bridge_only,0.25,2,0.83663,0.97617,1,0,0
A_dice_s0,A_dice,test_078.png,bridge_only,0.5,3,0.83382,0.9725,1,0,0
A_dice_s0,A_dice,test_078.png,bridge_only,0.75,4,0.82976,0.96673,0,1,-1
A_dice_s0,A_dice,test_078.png,bridge_only,1.0,6,0.8221,0.959,1,3,-3
A_dice_s0,A_dice,test_078.png,bridge_only,1.5,9,0.80946,0.94631,0,6,-6
A_dice_s0,A_dice,test_078.png,bridge_only,2.0,12,0.66722,0.8637,1,7,-7
A_dice_s0,A_dice,test_079.png,closing,0.0,0,0.93026,0.99252,0,3,3
A_dice_s0,A_dice,test_079.png,closing,0.25,2,0.92533,0.99454,0,0,0
A_dice_s0,A_dice,test_079.png,closing,0.5,3,0.9223,0.98738,0,0,0
A_dice_s0,A_dice,test_079.png,closing,0.75,4,0.91948,0.98491,0,0,0
A_dice_s0,A_dice,test_079.png,closing,1.0,6,0.91339,0.9803,0,1,-1
A_dice_s0,A_dice,test_079.png,closing,1.5,9,0.90281,0.97415,0,1,-1
A_dice_s0,A_dice,test_079.png,closing,2.0,12,0.89052,0.9684,0,1,-1
A_dice_s0,A_dice,test_079.png,bridge_only,0.0,0,0.93026,0.99252,0,3,3
A_dice_s0,A_dice,test_079.png,bridge_only,0.25,2,0.92563,0.9938,0,2,2
A_dice_s0,A_dice,test_079.png,bridge_only,0.5,3,0.92308,0.98654,0,2,2
A_dice_s0,A_dice,test_079.png,bridge_only,0.75,4,0.92067,0.98419,0,2,2
A_dice_s0,A_dice,test_079.png,bridge_only,1.0,6,0.91561,0.97904,0,1,1
A_dice_s0,A_dice,test_079.png,bridge_only,1.5,9,0.90744,0.97386,1,1,1
A_dice_s0,A_dice,test_079.png,bridge_only,2.0,12,0.89736,0.96766,1,1,1
A_dice_s0,A_dice,test_080.png,closing,0.0,0,0.86131,0.99603,1,0,0
A_dice_s0,A_dice,test_080.png,closing,0.25,2,0.84853,0.98482,0,4,-4
A_dice_s0,A_dice,test_080.png,closing,0.5,3,0.84147,0.9762,1,3,-3
A_dice_s0,A_dice,test_080.png,closing,0.75,4,0.83342,0.97186,1,4,-4
A_dice_s0,A_dice,test_080.png,closing,1.0,6,0.81752,0.96576,0,6,-6
A_dice_s0,A_dice,test_080.png,closing,1.5,9,0.78712,0.95495,0,6,-6
A_dice_s0,A_dice,test_080.png,closing,2.0,12,0.371,0.42856,0,47,-47
A_dice_s0,A_dice,test_080.png,bridge_only,0.0,0,0.86131,0.99603,1,0,0
A_dice_s0,A_dice,test_080.png,bridge_only,0.25,2,0.85232,0.98483,1,3,-3
A_dice_s0,A_dice,test_080.png,bridge_only,0.5,3,0.84789,0.97659,2,3,-3
A_dice_s0,A_dice,test_080.png,bridge_only,0.75,4,0.84381,0.97212,2,4,-4
A_dice_s0,A_dice,test_080.png,bridge_only,1.0,6,0.83638,0.9667,1,6,-6
A_dice_s0,A_dice,test_080.png,bridge_only,1.5,9,0.82425,0.95639,2,6,-6
A_dice_s0,A_dice,test_080.png,bridge_only,2.0,12,0.67243,0.84924,1,4,-4
A_dice_s0,A_dice,test_081.png,closing,0.0,0,0.84492,0.98611,0,2,2
A_dice_s0,A_dice,test_081.png,closing,0.25,2,0.83873,0.98553,0,3,-3
A_dice_s0,A_dice,test_081.png,closing,0.5,3,0.83465,0.97763,0,3,-3
A_dice_s0,A_dice,test_081.png,closing,0.75,4,0.82888,0.97159,1,3,-3
A_dice_s0,A_dice,test_081.png,closing,1.0,6,0.81591,0.95745,1,4,-4
A_dice_s0,A_dice,test_081.png,closing,1.5,9,0.78689,0.9359,0,5,-5
A_dice_s0,A_dice,test_081.png,closing,2.0,12,0.60006,0.73425,1,12,12
A_dice_s0,A_dice,test_081.png,bridge_only,0.0,0,0.84492,0.98611,0,2,2
A_dice_s0,A_dice,test_081.png,bridge_only,0.25,2,0.84034,0.9818,0,2,2
A_dice_s0,A_dice,test_081.png,bridge_only,0.5,3,0.83679,0.97358,0,2,2
A_dice_s0,A_dice,test_081.png,bridge_only,0.75,4,0.83281,0.96811,1,1,1
A_dice_s0,A_dice,test_081.png,bridge_only,1.0,6,0.82486,0.9562,1,0,0
A_dice_s0,A_dice,test_081.png,bridge_only,1.5,9,0.80818,0.9359,0,0,0
A_dice_s0,A_dice,test_081.png,bridge_only,2.0,12,0.73253,0.86883,1,4,4
A_dice_s0,A_dice,test_082.png,closing,0.0,0,0.82811,0.97161,0,41,-41
A_dice_s0,A_dice,test_082.png,closing,0.25,2,0.81437,0.96795,0,39,-39
A_dice_s0,A_dice,test_082.png,closing,0.5,3,0.80532,0.96479,1,38,-38
A_dice_s0,A_dice,test_082.png,closing,0.75,4,0.78862,0.95897,0,37,-37
A_dice_s0,A_dice,test_082.png,closing,1.0,6,0.51616,0.60636,2,66,-66
A_dice_s0,A_dice,test_082.png,closing,1.5,9,0.40864,0.41342,0,276,-276
A_dice_s0,A_dice,test_082.png,closing,2.0,12,0.40814,0.38329,0,279,-279
A_dice_s0,A_dice,test_082.png,bridge_only,0.0,0,0.82811,0.97161,0,41,-41
A_dice_s0,A_dice,test_082.png,bridge_only,0.25,2,0.82395,0.9667,0,42,-42
A_dice_s0,A_dice,test_082.png,bridge_only,0.5,3,0.82098,0.96418,1,44,-44
A_dice_s0,A_dice,test_082.png,bridge_only,0.75,4,0.81698,0.95935,0,44,-44
A_dice_s0,A_dice,test_082.png,bridge_only,1.0,6,0.77377,0.92463,2,34,-34
A_dice_s0,A_dice,test_082.png,bridge_only,1.5,9,0.73296,0.90094,1,52,-52
A_dice_s0,A_dice,test_082.png,bridge_only,2.0,12,0.73803,0.89565,0,53,-53
A_dice_s0,A_dice,test_083.png,closing,0.0,0,0.93763,0.98676,2,2,2
A_dice_s0,A_dice,test_083.png,closing,0.25,2,0.93312,0.9906,1,1,-1
A_dice_s0,A_dice,test_083.png,closing,0.5,3,0.93031,0.99143,1,1,-1
A_dice_s0,A_dice,test_083.png,closing,0.75,4,0.9265,0.99124,0,1,-1
A_dice_s0,A_dice,test_083.png,closing,1.0,6,0.91742,0.98319,0,1,-1
A_dice_s0,A_dice,test_083.png,closing,1.5,9,0.8977,0.97499,0,2,-2
A_dice_s0,A_dice,test_083.png,closing,2.0,12,0.86964,0.96582,0,3,-3
A_dice_s0,A_dice,test_083.png,bridge_only,0.0,0,0.93763,0.98676,2,2,2
A_dice_s0,A_dice,test_083.png,bridge_only,0.25,2,0.93355,0.99006,1,2,2
A_dice_s0,A_dice,test_083.png,bridge_only,0.5,3,0.93136,0.99049,1,2,2
A_dice_s0,A_dice,test_083.png,bridge_only,0.75,4,0.92877,0.98986,0,3,3
A_dice_s0,A_dice,test_083.png,bridge_only,1.0,6,0.92287,0.98174,0,3,3
A_dice_s0,A_dice,test_083.png,bridge_only,1.5,9,0.91182,0.97391,1,0,0
A_dice_s0,A_dice,test_083.png,bridge_only,2.0,12,0.89798,0.96424,0,0,0
A_dice_s0,A_dice,test_084.png,closing,0.0,0,0.96483,0.99807,0,2,2
A_dice_s0,A_dice,test_084.png,closing,0.25,2,0.95921,0.99811,0,1,-1
A_dice_s0,A_dice,test_084.png,closing,0.5,3,0.95571,0.99729,0,1,-1
A_dice_s0,A_dice,test_084.png,closing,0.75,4,0.95031,0.99568,0,1,-1
A_dice_s0,A_dice,test_084.png,closing,1.0,6,0.93901,0.99148,0,1,-1
A_dice_s0,A_dice,test_084.png,closing,1.5,9,0.90922,0.98307,0,1,-1
A_dice_s0,A_dice,test_084.png,closing,2.0,12,0.81615,0.9141,0,2,-2
A_dice_s0,A_dice,test_084.png,bridge_only,0.0,0,0.96483,0.99807,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,0.25,2,0.96054,0.99787,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,0.5,3,0.95823,0.997,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,0.75,4,0.95545,0.99539,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,1.0,6,0.94946,0.99119,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,1.5,9,0.93301,0.98292,0,2,2
A_dice_s0,A_dice,test_084.png,bridge_only,2.0,12,0.90591,0.94582,0,1,1
A_dice_s0,A_dice,test_085.png,closing,0.0,0,0.9249,0.9973,0,1,1
A_dice_s0,A_dice,test_085.png,closing,0.25,2,0.91773,0.99617,1,0,0
A_dice_s0,A_dice,test_085.png,closing,0.5,3,0.91301,0.99429,0,0,0
A_dice_s0,A_dice,test_085.png,closing,0.75,4,0.90633,0.98582,0,0,0
A_dice_s0,A_dice,test_085.png,closing,1.0,6,0.89211,0.97316,0,1,-1
A_dice_s0,A_dice,test_085.png,closing,1.5,9,0.86577,0.9585,0,2,-2
A_dice_s0,A_dice,test_085.png,closing,2.0,12,0.55694,0.66514,0,11,-11
A_dice_s0,A_dice,test_085.png,bridge_only,0.0,0,0.9249,0.9973,0,1,1
A_dice_s0,A_dice,test_085.png,bridge_only,0.25,2,0.9187,0.99572,1,1,1
A_dice_s0,A_dice,test_085.png,bridge_only,0.5,3,0.91486,0.99384,0,1,1
A_dice_s0,A_dice,test_085.png,bridge_only,0.75,4,0.9102,0.98538,0,1,1
A_dice_s0,A_dice,test_085.png,bridge_only,1.0,6,0.89993,0.97285,0,0,0
A_dice_s0,A_dice,test_085.png,bridge_only,1.5,9,0.88384,0.95917,0,1,-1
A_dice_s0,A_dice,test_085.png,bridge_only,2.0,12,0.76292,0.88291,0,1,1
A_dice_s0,A_dice,test_086.png,closing,0.0,0,0.91765,0.98496,0,6,6
A_dice_s0,A_dice,test_086.png,closing,0.25,2,0.91098,0.98406,0,3,3
A_dice_s0,A_dice,test_086.png,closing,0.5,3,0.90699,0.97959,1,3,3
A_dice_s0,A_dice,test_086.png,closing,0.75,4,0.90085,0.97573,2,3,3
A_dice_s0,A_dice,test_086.png,closing,1.0,6,0.88759,0.96309,3,1,1
A_dice_s0,A_dice,test_086.png,closing,1.5,9,0.86459,0.95691,2,1,1
A_dice_s0,A_dice,test_086.png,closing,2.0,12,0.75136,0.87783,3,9,9
A_dice_s0,A_dice,test_086.png,bridge_only,0.0,0,0.91765,0.98496,0,6,6
A_dice_s0,A_dice,test_086.png,bridge_only,0.25,2,0.91234,0.98308,0,5,5
A_dice_s0,A_dice,test_086.png,bridge_only,0.5,3,0.90927,0.97862,1,5,5
A_dice_s0,A_dice,test_086.png,bridge_only,0.75,4,0.90539,0.97484,2,5,5
A_dice_s0,A_dice,test_086.png,bridge_only,1.0,6,0.8979,0.96308,4,4,4
A_dice_s0,A_dice,test_086.png,bridge_only,1.5,9,0.88682,0.95755,2,4,4
A_dice_s0,A_dice,test_086.png,bridge_only,2.0,12,0.86147,0.93455,2,5,5
A_dice_s0,A_dice,test_087.png,closing,0.0,0,0.85003,0.98032,0,5,5
A_dice_s0,A_dice,test_087.png,closing,0.25,2,0.84268,0.9777,6,2,2
A_dice_s0,A_dice,test_087.png,closing,0.5,3,0.83845,0.97503,2,1,1
A_dice_s0,A_dice,test_087.png,closing,0.75,4,0.83226,0.96624,1,1,1
A_dice_s0,A_dice,test_087.png,closing,1.0,6,0.81764,0.95298,1,4,4
A_dice_s0,A_dice,test_087.png,closing,1.5,9,0.76904,0.92017,2,6,6
A_dice_s0,A_dice,test_087.png,closing,2.0,12,0.44209,0.37039,0,49,-49
A_dice_s0,A_dice,test_087.png,bridge_only,0.0,0,0.85003,0.98032,0,5,5
A_dice_s0,A_dice,test_087.png,bridge_only,0.25,2,0.84432,0.97543,6,4,4
A_dice_s0,A_dice,test_087.png,bridge_only,0.5,3,0.84122,0.97329,2,3,3
A_dice_s0,A_dice,test_087.png,bridge_only,0.75,4,0.83739,0.96449,1,3,3
A_dice_s0,A_dice,test_087.png,bridge_only,1.0,6,0.82807,0.95195,2,3,3
A_dice_s0,A_dice,test_087.png,bridge_only,1.5,9,0.81162,0.93724,3,0,0
A_dice_s0,A_dice,test_087.png,bridge_only,2.0,12,0.71791,0.8704,1,3,-3
A_dice_s0,A_dice,test_088.png,closing,0.0,0,0.91555,0.99118,0,3,3
A_dice_s0,A_dice,test_088.png,closing,0.25,2,0.90793,0.98698,1,1,1
A_dice_s0,A_dice,test_088.png,closing,0.5,3,0.904,0.98151,0,0,0
A_dice_s0,A_dice,test_088.png,closing,0.75,4,0.89999,0.98031,2,0,0
A_dice_s0,A_dice,test_088.png,closing,1.0,6,0.89221,0.97462,0,0,0
A_dice_s0,A_dice,test_088.png,closing,1.5,9,0.87727,0.96744,0,0,0
A_dice_s0,A_dice,test_088.png,closing,2.0,12,0.85857,0.95113,0,0,0
A_dice_s0,A_dice,test_088.png,bridge_only,0.0,0,0.91555,0.99118,0,3,3
A_dice_s0,A_dice,test_088.png,bridge_only,0.25,2,0.90873,0.98533,1,3,3
A_dice_s0,A_dice,test_088.png,bridge_only,0.5,3,0.90546,0.98066,1,2,2
A_dice_s0,A_dice,test_088.png,bridge_only,0.75,4,0.90238,0.97902,2,2,2
A_dice_s0,A_dice,test_088.png,bridge_only,1.0,6,0.89625,0.97331,0,2,2
A_dice_s0,A_dice,test_088.png,bridge_only,1.5,9,0.88501,0.96594,0,2,2
A_dice_s0,A_dice,test_088.png,bridge_only,2.0,12,0.87228,0.94999,0,2,2
A_dice_s0,A_dice,test_089.png,closing,0.0,0,0.8628,0.99155,0,6,6
A_dice_s0,A_dice,test_089.png,closing,0.25,2,0.85951,0.98625,0,0,0
A_dice_s0,A_dice,test_089.png,closing,0.5,3,0.8581,0.98445,0,0,0
A_dice_s0,A_dice,test_089.png,closing,0.75,4,0.85685,0.98348,1,0,0
A_dice_s0,A_dice,test_089.png,closing,1.0,6,0.85385,0.97942,1,0,0
A_dice_s0,A_dice,test_089.png,closing,1.5,9,0.84706,0.97299,1,0,0
A_dice_s0,A_dice,test_089.png,closing,2.0,12,0.8325,0.96158,1,1,-1
A_dice_s0,A_dice,test_089.png,bridge_only,0.0,0,0.8628,0.99155,0,6,6
A_dice_s0,A_dice,test_089.png,bridge_only,0.25,2,0.85801,0.98515,0,6,6
A_dice_s0,A_dice,test_089.png,bridge_only,0.5,3,0.85597,0.98342,0,6,6
A_dice_s0,A_dice,test_089.png,bridge_only,0.75,4,0.85427,0.98196,1,6,6
A_dice_s0,A_dice,test_089.png,bridge_only,1.0,6,0.85077,0.97704,1,6,6
A_dice_s0,A_dice,test_089.png,bridge_only,1.5,9,0.84394,0.96956,1,5,5
A_dice_s0,A_dice,test_089.png,bridge_only,2.0,12,0.83477,0.95827,1,5,5
A_dice_s0,A_dice,test_090.png,closing,0.0,0,0.83736,0.97552,0,6,-6
A_dice_s0,A_dice,test_090.png,closing,0.25,2,0.83085,0.97631,0,8,-8
A_dice_s0,A_dice,test_090.png,closing,0.5,3,0.82696,0.97193,0,7,-7
A_dice_s0,A_dice,test_090.png,closing,0.75,4,0.82158,0.96349,0,7,-7
A_dice_s0,A_dice,test_090.png,closing,1.0,6,0.81182,0.95223,1,8,-8
A_dice_s0,A_dice,test_090.png,closing,1.5,9,0.78686,0.93895,1,8,-8
