run,config,seed,epoch,threshold,dice,traced
A_dice_clw1_s10,A_dice_clw1,10,10,0.8,0.7935125561876161,0.1199770121148809
A_dice_clw1_s10,A_dice_clw1,10,10,0.825,0.7867485280862337,0.10491269660073675
A_dice_clw1_s10,A_dice_clw1,10,10,0.85,0.7783784642166997,0.0968323597096522
A_dice_clw1_s10,A_dice_clw1,10,10,0.875,0.7669612102758122,0.08757981405428727
A_dice_clw1_s10,A_dice_clw1,10,10,0.9,0.7513631632422902,0.06883285115298243
A_dice_clw1_s11,A_dice_clw1,11,10,0.1,0.782883679163021,0.554852397714692
A_dice_clw1_s11,A_dice_clw1,11,10,0.125,0.7905751344779783,0.5311336358299372
A_dice_clw1_s11,A_dice_clw1,11,10,0.15,0.7963673359051354,0.5150610999229813
A_dice_clw1_s11,A_dice_clw1,11,10,0.175,0.80089397441572,0.4814753009093704
A_dice_clw1_s11,A_dice_clw1,11,10,0.2,0.8043609799408193,0.45808485800081145
A_dice_clw1_s11,A_dice_clw1,11,10,0.225,0.8072783531819844,0.44499011787661
A_dice_clw1_s11,A_dice_clw1,11,10,0.25,0.8095535958986926,0.42511858381807305
A_dice_clw1_s11,A_dice_clw1,11,10,0.275,0.8115685910766998,0.4166747210695667
A_dice_clw1_s11,A_dice_clw1,11,10,0.3,0.8133345150928748,0.4016628639094283
A_dice_clw1_s11,A_dice_clw1,11,10,0.325,0.8146064162611902,0.3851296564119793
A_dice_clw1_s11,A_dice_clw1,11,10,0.35,0.815696565959373,0.36347175278931465
A_dice_clw1_s11,A_dice_clw1,11,10,0.375,0.8165712581741208,0.3440647967042157
A_dice_clw1_s11,A_dice_clw1,11,10,0.4,0.817054163867402,0.33617455661749795
A_dice_clw1_s11,A_dice_clw1,11,10,0.425,0.8174048346194748,0.32864175177434923
A_dice_clw1_s11,A_dice_clw1,11,10,0.45,0.8176118762603509,0.3158102391772063
A_dice_clw1_s11,A_dice_clw1,11,10,0.475,0.8175433562480878,0.30585535889676607
A_dice_clw1_s11,A_dice_clw1,11,10,0.5,0.8174828948971953,0.29333273475956345
A_dice_clw1_s11,A_dice_clw1,11,10,0.525,0.8172137105719344,0.2831529912798115
A_dice_clw1_s11,A_dice_clw1,11,10,0.55,0.8167552491525932,0.2738967064731147
A_dice_clw1_s11,A_dice_clw1,11,10,0.575,0.8158580494431925,0.26654882563584537
A_dice_clw1_s11,A_dice_clw1,11,10,0.6,0.8146738292386421,0.24663244244069737
A_dice_clw1_s11,A_dice_clw1,11,10,0.625,0.8133964894338808,0.23517249601596982
A_dice_clw1_s11,A_dice_clw1,11,10,0.65,0.811772550148382,0.22590068764692667
A_dice_clw1_s11,A_dice_clw1,11,10,0.675,0.8098356588577441,0.19837051570980918
A_dice_clw1_s11,A_dice_clw1,11,10,0.7,0.8072310279669876,0.18348529985193068
A_dice_clw1_s11,A_dice_clw1,11,10,0.725,0.8040512314237382,0.17125321703297383
A_dice_clw1_s11,A_dice_clw1,11,10,0.75,0.8003237823841555,0.15806992296945013
A_dice_clw1_s11,A_dice_clw1,11,10,0.775,0.7953899159921511,0.14654100557649669
A_dice_clw1_s11,A_dice_clw1,11,10,0.8,0.7894694945792302,0.1309803587804515
A_dice_clw1_s11,A_dice_clw1,11,10,0.825,0.7817131032444018,0.11032333502677047
A_dice_clw1_s11,A_dice_clw1,11,10,0.85,0.7723012689775655,0.10010086779599467
A_dice_clw1_s11,A_dice_clw1,11,10,0.875,0.7602778540745362,0.07558303555174309
A_dice_clw1_s11,A_dice_clw1,11,10,0.9,0.7436138080954819,0.05868944198353078
A_dice_clw1_s2,A_dice_clw1,2,10,0.1,0.7733347719962322,0.5898108017168091
A_dice_clw1_s2,A_dice_clw1,2,10,0.125,0.7823418969170057,0.5674943951250798
A_dice_clw1_s2,A_dice_clw1,2,10,0.15,0.7890653312562749,0.5523395368773238
A_dice_clw1_s2,A_dice_clw1,2,10,0.175,0.7941506931997628,0.5382965077707765
A_dice_clw1_s2,A_dice_clw1,2,10,0.2,0.7981882367372733,0.5225614821503146
A_dice_clw1_s2,A_dice_clw1,2,10,0.225,0.8016226925868529,0.5086243669326499
A_dice_clw1_s2,A_dice_clw1,2,10,0.25,0.8040207056198931,0.4896952878062825
A_dice_clw1_s2,A_dice_clw1,2,10,0.275,0.806204995004995,0.4595809186435349
A_dice_clw1_s2,A_dice_clw1,2,10,0.3,0.8081145696266077,0.4463102670814284
A_dice_clw1_s2,A_dice_clw1,2,10,0.325,0.809674852205548,0.4225675291734642
A_dice_clw1_s2,A_dice_clw1,2,10,0.35,0.8109059646442048,0.4127546703060052
A_dice_clw1_s2,A_dice_clw1,2,10,0.375,0.8121576459886491,0.4066983338655187
A_dice_clw1_s2,A_dice_clw1,2,10,0.4,0.8131411897162399,0.38245753888876777
