run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw1_s0,A_dice_clw1,0,70,09,0.78189,0.78009,97.0,743.423,8726
A_dice_clw1_s0,A_dice_clw1,0,70,10,0.79906,0.77616,94.0,2149.108,9137
A_dice_clw1_s0,A_dice_clw1,0,70,11,0.80111,0.776,100.0,2894.364,10456
A_dice_clw1_s0,A_dice_clw1,0,70,12,0.81678,0.83582,81.0,1310.05,8712
A_dice_clw1_s0,A_dice_clw1,0,70,13,0.80941,0.78951,99.0,1626.477,10186
A_dice_clw1_s0,A_dice_clw1,0,70,14,0.80932,0.82057,106.0,3407.569,8358
A_dice_clw1_s0,A_dice_clw1,0,70,15,0.77829,0.79882,122.0,3148.632,7651
A_dice_clw1_s0,A_dice_clw1,0,70,16,0.82871,0.86405,87.0,3506.067,8812
A_dice_clw1_s0,A_dice_clw1,0,70,17,0.80534,0.82117,96.0,1030.691,7984
A_dice_clw1_s0,A_dice_clw1,0,70,18,0.81273,0.86235,89.0,1808.513,7659
A_dice_clw1_s0,A_dice_clw1,0,70,19,0.838,0.86879,110.0,4862.711,8476
A_dice_clw1_s0,A_dice_clw1,0,70,20,0.79473,0.83085,130.0,1417.352,7373
A_dice_clw1_s0,A_dice_clw1,0,80,01,0.81491,0.83951,90.0,2915.394,9312
A_dice_clw1_s0,A_dice_clw1,0,80,02,0.84142,0.84411,85.0,4267.663,9289
A_dice_clw1_s0,A_dice_clw1,0,80,03,0.77701,0.75584,122.0,552.108,9221
A_dice_clw1_s0,A_dice_clw1,0,80,04,0.82236,0.78397,75.0,2500.414,8926
A_dice_clw1_s0,A_dice_clw1,0,80,05,0.79449,0.76953,85.0,1576.92,9586
A_dice_clw1_s0,A_dice_clw1,0,80,06,0.78215,0.75721,110.0,925.365,9989
A_dice_clw1_s0,A_dice_clw1,0,80,07,0.7955,0.78081,103.0,2288.995,8968
A_dice_clw1_s0,A_dice_clw1,0,80,08,0.77445,0.75676,111.0,726.161,8585
A_dice_clw1_s0,A_dice_clw1,0,80,09,0.77005,0.77027,76.0,711.71,8726
A_dice_clw1_s0,A_dice_clw1,0,80,10,0.79342,0.76707,93.0,1529.906,9137
A_dice_clw1_s0,A_dice_clw1,0,80,11,0.79925,0.76886,95.0,1985.641,10456
A_dice_clw1_s0,A_dice_clw1,0,80,12,0.81259,0.83024,80.0,1050.869,8712
A_dice_clw1_s0,A_dice_clw1,0,80,13,0.79859,0.77666,111.0,1210.752,10186
A_dice_clw1_s0,A_dice_clw1,0,80,14,0.81258,0.81781,106.0,1512.667,8358
A_dice_clw1_s0,A_dice_clw1,0,80,15,0.79007,0.80875,116.0,2610.799,7651
A_dice_clw1_s0,A_dice_clw1,0,80,16,0.82643,0.85773,90.0,3192.447,8812
A_dice_clw1_s0,A_dice_clw1,0,80,17,0.79801,0.81512,95.0,769.942,7984
A_dice_clw1_s0,A_dice_clw1,0,80,18,0.8109,0.84924,92.0,917.255,7659
A_dice_clw1_s0,A_dice_clw1,0,80,19,0.84323,0.8651,100.0,2321.504,8476
A_dice_clw1_s0,A_dice_clw1,0,80,20,0.80055,0.83478,104.0,837.458,7373
A_dice_clw1_s0,A_dice_clw1,0,90,01,0.81531,0.84634,81.0,3690.805,9312
