config,run,epoch,seed,field_arm,image,source,along,across,erl_split,erl_bridged,dice,fg
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.0,1.0,0.64508,0.64904,0.60004,63753
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.5,0.0,0.55871,0.6096,0.80746,36307
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.5,0.25,0.58516,0.62845,0.78812,39280
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.5,0.5,0.64454,0.6449,0.70983,48986
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,1.5,1.0,0.66102,0.66156,0.58945,65838
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,2.0,0.0,0.59703,0.63361,0.78776,39193
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,2.0,0.25,0.62812,0.63933,0.77096,41556
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,2.0,0.5,0.65538,0.65574,0.69206,51364
A_dice,A_dice_s8,10,8,H_aug_dir,04,oracle,2.0,1.0,0.67162,0.67291,0.57762,68099
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.0,0.25,0.3358,0.49604,0.82729,28506
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.0,0.5,0.37387,0.53403,0.80747,32687
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.0,1.0,0.45419,0.58589,0.73842,43187
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.5,0.0,0.40002,0.53419,0.8081,32826
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.5,0.25,0.4241,0.55493,0.79909,34615
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.5,0.5,0.58669,0.60856,0.7289,46068
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,0.5,1.0,0.60328,0.62016,0.66492,54014
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.0,0.0,0.47758,0.58794,0.7364,43283
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.0,0.25,0.50614,0.59899,0.71902,45986
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.0,0.5,0.61506,0.6297,0.66504,54062
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.0,1.0,0.6449,0.64886,0.59988,63782
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.5,0.0,0.52512,0.62066,0.66161,53408
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.5,0.25,0.60769,0.63397,0.61767,60419
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.5,0.5,0.64169,0.65447,0.56812,69184
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,1.5,1.0,0.66686,0.66851,0.53207,76369
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,2.0,0.0,0.55304,0.6413,0.57379,67469
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,2.0,0.25,0.62865,0.65338,0.54877,72564
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,2.0,0.5,0.66341,0.67567,0.50331,82647
A_dice,A_dice_s8,10,8,H_aug_dir,04,shuffled,2.0,1.0,0.68436,0.6877,0.47219,90534
