config,run,epoch,seed,image,source,along,across,erl_split,erl_bridged,dice,fg
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.0,0.5,0.83209,0.84647,0.63116,70855
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.0,1.0,0.85282,0.86099,0.56791,82830
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.5,0.0,0.78095,0.85519,0.6308,70123
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.5,0.25,0.83189,0.86477,0.58672,78734
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.5,0.5,0.85362,0.87965,0.5378,89422
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,1.5,1.0,0.87845,0.88916,0.50353,98100
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,2.0,0.0,0.81417,0.86798,0.54234,87926
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,2.0,0.25,0.84372,0.87884,0.51892,93853
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,2.0,0.5,0.87845,0.88957,0.47667,105559
K_focal_aug,K_focal_aug_s0,50,0,02,shuffled,2.0,1.0,0.89324,0.90118,0.44694,115174
K_focal_aug,K_focal_aug_s0,50,0,03,raw,0.0,0.0,0.19404,0.50298,0.78037,33447
K_focal_aug,K_focal_aug_s0,50,0,03,isotropic,0.25,0.25,0.19404,0.50298,0.78037,33447
K_focal_aug,K_focal_aug_s0,50,0,03,isotropic,0.5,0.5,0.55879,0.60119,0.69424,53478
K_focal_aug,K_focal_aug_s0,50,0,03,isotropic,0.75,0.75,0.59047,0.67192,0.63968,62029
K_focal_aug,K_focal_aug_s0,50,0,03,isotropic,1.0,1.0,0.65226,0.69324,0.58199,72522
K_focal_aug,K_focal_aug_s0,50,0,03,isotropic,1.5,1.5,0.71657,0.72836,0.48522,95507
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.0,0.25,0.19404,0.50298,0.78037,33447
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.0,0.5,0.21607,0.53728,0.74791,40774
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.0,1.0,0.54414,0.57925,0.65445,58384
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.5,0.0,0.20193,0.53237,0.77836,35358
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.5,0.25,0.22601,0.5408,0.77572,37284
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.5,0.5,0.55717,0.59867,0.70003,52555
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,0.5,1.0,0.56954,0.67259,0.61155,66441
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.0,0.0,0.25435,0.60566,0.76958,40373
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.0,0.25,0.27496,0.61433,0.76032,42657
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.0,0.5,0.59031,0.65278,0.69019,54607
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.0,1.0,0.65208,0.69306,0.58637,71692
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.5,0.0,0.28178,0.64475,0.75814,43375
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.5,0.25,0.32097,0.67247,0.74141,46968
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.5,0.5,0.68408,0.68857,0.67773,57228
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,1.5,1.0,0.69724,0.70978,0.57332,74924
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,2.0,0.0,0.34697,0.68749,0.73712,47539
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,2.0,0.25,0.3642,0.69326,0.72189,50303
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,2.0,0.5,0.69671,0.70559,0.65739,60780
K_focal_aug,K_focal_aug_s0,50,0,03,oracle,2.0,1.0,0.71036,0.7243,0.55998,78254
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.0,0.25,0.19404,0.50298,0.78037,33447
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.0,0.5,0.21898,0.52491,0.76371,38199
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.0,1.0,0.25055,0.60284,0.70395,49857
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.5,0.0,0.20586,0.53538,0.76387,38192
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.5,0.25,0.2113,0.54159,0.75635,40250
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.5,0.5,0.55766,0.59984,0.698,52832
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,0.5,1.0,0.59097,0.67299,0.64317,61462
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.0,0.0,0.24888,0.6119,0.70383,49763
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.0,0.25,0.25815,0.62332,0.6886,52750
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.0,0.5,0.58264,0.65853,0.64225,61506
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.0,1.0,0.65226,0.69324,0.58502,71945
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.5,0.0,0.27146,0.66567,0.63776,60941
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.5,0.25,0.61606,0.68405,0.59957,68549
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.5,0.5,0.65503,0.70029,0.55455,78011
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,1.5,1.0,0.70177,0.71197,0.5219,85665
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,2.0,0.0,0.58677,0.69233,0.55739,76635
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,2.0,0.25,0.63872,0.70284,0.53621,81831
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,2.0,0.5,0.70993,0.72722,0.49562,92376
K_focal_aug,K_focal_aug_s0,50,0,03,shuffled,2.0,1.0,0.72503,0.7531,0.4672,100734
K_focal_aug,K_focal_aug_s0,50,0,04,raw,0.0,0.0,0.52928,0.58147,0.80689,32160
K_focal_aug,K_focal_aug_s0,50,0,04,isotropic,0.25,0.25,0.52928,0.58147,0.80689,32160
K_focal_aug,K_focal_aug_s0,50,0,04,isotropic,0.5,0.5,0.63811,0.63811,0.69295,50902
K_focal_aug,K_focal_aug_s0,50,0,04,isotropic,0.75,0.75,0.65938,0.65956,0.63543,58776
K_focal_aug,K_focal_aug_s0,50,0,04,isotropic,1.0,1.0,0.67549,0.6777,0.57264,69020
K_focal_aug,K_focal_aug_s0,50,0,04,isotropic,1.5,1.5,0.70925,0.71058,0.47378,90891
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.0,0.25,0.52928,0.58147,0.80689,32160
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.0,0.5,0.5617,0.60144,0.76447,38928
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.0,1.0,0.62529,0.63096,0.65034,55927
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.5,0.0,0.54605,0.5904,0.80231,33893
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.5,0.25,0.56574,0.59626,0.7951,35723
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.5,0.5,0.63667,0.63667,0.69838,50170
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,0.5,1.0,0.64853,0.65883,0.60421,63329
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.0,0.0,0.59577,0.61299,0.78577,38144
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.0,0.25,0.62336,0.62673,0.77487,40184
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.0,0.5,0.65088,0.65811,0.68952,51636
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.0,1.0,0.67494,0.67715,0.57646,68348
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.5,0.0,0.63242,0.64207,0.77328,40531
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.5,0.25,0.6471,0.66103,0.75265,43635
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.5,0.5,0.6731,0.67348,0.67724,53575
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,1.5,1.0,0.69014,0.69051,0.56543,70745
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,2.0,0.0,0.65778,0.67054,0.75187,43672
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,2.0,0.25,0.67256,0.67551,0.73444,46230
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,2.0,0.5,0.68438,0.68754,0.65981,56183
K_focal_aug,K_focal_aug_s0,50,0,04,oracle,2.0,1.0,0.70248,0.70304,0.55368,73251
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.0,0.25,0.52928,0.58147,0.80689,32160
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.0,0.5,0.55983,0.5997,0.78368,36492
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.0,1.0,0.60754,0.62705,0.70746,47437
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.5,0.0,0.53846,0.60022,0.78344,36459
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.5,0.25,0.55168,0.61276,0.7726,38440
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.5,0.5,0.63775,0.63775,0.69802,50240
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,0.5,1.0,0.64655,0.65775,0.63697,58438
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.0,0.0,0.59284,0.63185,0.70881,47359
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.0,0.25,0.61315,0.63685,0.69048,50201
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.0,0.5,0.64835,0.65884,0.63806,58384
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.0,1.0,0.67531,0.67752,0.57617,68398
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.5,0.0,0.61931,0.65339,0.63531,57836
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.5,0.25,0.64296,0.66285,0.59291,65083
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.5,0.5,0.67734,0.6803,0.54613,73970
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,1.5,1.0,0.69088,0.69368,0.51225,81286
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,2.0,0.0,0.64854,0.67384,0.54851,73002
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,2.0,0.25,0.67274,0.68252,0.5258,77996
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,2.0,0.5,0.69573,0.70097,0.48426,87934
K_focal_aug,K_focal_aug_s0,50,0,04,shuffled,2.0,1.0,0.71266,0.71455,0.45515,95987
K_focal_aug,K_focal_aug_s0,50,0,05,raw,0.0,0.0,0.40081,0.53988,0.79997,31545
K_focal_aug,K_focal_aug_s0,50,0,05,isotropic,0.25,0.25,0.40081,0.53988,0.79997,31545
K_focal_aug,K_focal_aug_s0,50,0,05,isotropic,0.5,0.5,0.58193,0.58847,0.68928,51269
K_focal_aug,K_focal_aug_s0,50,0,05,isotropic,0.75,0.75,0.5949,0.61041,0.63106,59477
K_focal_aug,K_focal_aug_s0,50,0,05,isotropic,1.0,1.0,0.61193,0.6308,0.56717,70298
K_focal_aug,K_focal_aug_s0,50,0,05,isotropic,1.5,1.5,0.6632,0.68284,0.46744,93341
K_focal_aug,K_focal_aug_s0,50,0,05,oracle,0.0,0.25,0.40081,0.53988,0.79997,31545
