config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s1,1,rule_i,03,0.80211,0.78315,84.0,1051.475,9221
A_dice,A_dice_s1,1,rule_i,04,0.82885,0.80386,60.0,3120.233,8926
A_dice,A_dice_s1,1,rule_i,05,0.81189,0.78924,69.0,2196.901,9586
A_dice,A_dice_s1,1,rule_i,06,0.8075,0.78441,104.0,2787.595,9989
A_dice,A_dice_s1,1,rule_i,07,0.81448,0.80659,88.0,3012.867,8968
A_dice,A_dice_s1,1,rule_i,08,0.79686,0.78773,90.0,879.913,8585
A_dice,A_dice_s1,1,rule_i,09,0.80674,0.80628,81.0,1241.631,8726
A_dice,A_dice_s1,1,rule_i,10,0.80888,0.79036,71.0,3012.934,9137
A_dice,A_dice_s1,1,rule_i,11,0.80978,0.78926,80.0,3630.031,10456
A_dice,A_dice_s1,1,rule_i,12,0.824,0.84603,71.0,1934.639,8712
A_dice,A_dice_s1,1,rule_i,13,0.81798,0.80317,94.0,1604.837,10186
A_dice,A_dice_s1,1,rule_i,14,0.81825,0.83044,88.0,3771.63,8358
A_dice,A_dice_s1,1,rule_i,15,0.79959,0.82983,100.0,3625.974,7651
A_dice,A_dice_s1,1,rule_i,16,0.83799,0.87833,79.0,2435.423,8812
A_dice,A_dice_s1,1,rule_i,17,0.82037,0.84556,91.0,987.581,7984
A_dice,A_dice_s1,1,rule_i,18,0.82041,0.87768,65.0,3637.279,7659
A_dice,A_dice_s1,1,rule_i,19,0.85066,0.88495,65.0,5105.289,8476
A_dice,A_dice_s1,1,rule_i,20,0.81076,0.85179,90.0,1172.783,7373
A_dice,A_dice_s1,1,rule_iv,01,0.82492,0.86188,59.0,4290.727,9312
A_dice,A_dice_s1,1,rule_iv,02,0.84993,0.85439,71.0,4879.456,9289
A_dice,A_dice_s1,1,rule_iv,03,0.80211,0.78315,84.0,1051.475,9221
A_dice,A_dice_s1,1,rule_iv,04,0.82885,0.80386,60.0,3120.233,8926
