config,run,epoch,seed,condition,radius_px,image,erl,skel_px,dice,foreground
A_dice,A_dice_s1,20,1,oracle_all,0,03,9221.0,9221,0.84647,32137
A_dice,A_dice_s1,20,1,raw,0,04,3120.233,8926,0.82877,29233
A_dice,A_dice_s1,20,1,closing,6,04,3937.032,8926,0.7624,36894
A_dice,A_dice_s1,20,1,closing_fair,1,04,3163.963,8926,0.82816,29386
A_dice,A_dice_s1,20,1,oracle_sever,0,04,3565.854,8926,0.83337,29468
A_dice,A_dice_s1,20,1,oracle_all,0,04,8926.0,8926,0.87069,31445
A_dice,A_dice_s1,20,1,raw,0,05,2196.901,9586,0.81182,27721
A_dice,A_dice_s1,20,1,closing,6,05,3303.504,9586,0.75141,35429
A_dice,A_dice_s1,20,1,closing_fair,1,05,3014.254,9586,0.81191,27951
A_dice,A_dice_s1,20,1,oracle_sever,0,05,2562.136,9586,0.81895,28075
A_dice,A_dice_s1,20,1,oracle_all,0,05,9582.001,9586,0.86348,30386
A_dice,A_dice_s1,20,1,raw,0,06,2787.595,9989,0.80735,27667
A_dice,A_dice_s1,20,1,closing,6,06,3712.96,9989,0.73968,37571
A_dice,A_dice_s1,20,1,closing_fair,1,06,2880.069,9989,0.80734,27866
A_dice,A_dice_s1,20,1,oracle_sever,0,06,3424.629,9989,0.81842,28227
A_dice,A_dice_s1,20,1,oracle_all,0,06,9254.356,9989,0.86255,30568
A_dice,A_dice_s1,20,1,raw,0,07,3012.867,8968,0.81584,27683
A_dice,A_dice_s1,20,1,closing,6,07,3723.647,8968,0.75116,35581
A_dice,A_dice_s1,20,1,closing_fair,1,07,3228.447,8968,0.81637,27893
A_dice,A_dice_s1,20,1,oracle_sever,0,07,3589.633,8968,0.82335,28052
A_dice,A_dice_s1,20,1,oracle_all,0,07,8900.258,8968,0.85938,29891
A_dice,A_dice_s1,20,1,raw,0,08,879.913,8585,0.79814,25569
A_dice,A_dice_s1,20,1,closing,6,08,2744.871,8585,0.74593,32748
A_dice,A_dice_s1,20,1,closing_fair,1,08,1040.646,8585,0.7979,25771
A_dice,A_dice_s1,20,1,oracle_sever,0,08,1034.755,8585,0.81055,26132
A_dice,A_dice_s1,20,1,oracle_all,0,08,8119.764,8585,0.84625,27819
A_dice,A_dice_s1,20,1,raw,0,09,1241.631,8726,0.80805,24929
A_dice,A_dice_s1,20,1,closing,6,09,3540.957,8726,0.74749,32160
A_dice,A_dice_s1,20,1,closing_fair,1,09,1494.965,8726,0.80818,25111
A_dice,A_dice_s1,20,1,oracle_sever,0,09,1575.565,8726,0.81379,25179
A_dice,A_dice_s1,20,1,oracle_all,0,09,8480.974,8726,0.85238,26925
A_dice,A_dice_s1,20,1,raw,0,10,3012.934,9137,0.80977,27899
A_dice,A_dice_s1,20,1,closing,6,10,3645.369,9137,0.71153,37988
A_dice,A_dice_s1,20,1,closing_fair,1,10,3055.551,9137,0.80925,28120
A_dice,A_dice_s1,20,1,oracle_sever,0,10,3443.639,9137,0.81654,28214
A_dice,A_dice_s1,20,1,oracle_all,0,10,8792.259,9137,0.85312,29980
A_dice,A_dice_s1,20,1,raw,0,11,3630.031,10456,0.81043,31066
A_dice,A_dice_s1,20,1,closing,6,11,4755.839,10456,0.72641,40821
A_dice,A_dice_s1,20,1,closing_fair,1,11,3991.035,10456,0.8085,31448
A_dice,A_dice_s1,20,1,oracle_sever,0,11,3836.504,10456,0.81303,31199
A_dice,A_dice_s1,20,1,oracle_all,0,11,10173.384,10456,0.85627,33495
A_dice,A_dice_s1,20,1,raw,0,12,1934.639,8712,0.82495,29169
A_dice,A_dice_s1,20,1,closing,6,12,2268.693,8712,0.72517,40415
A_dice,A_dice_s1,20,1,closing_fair,1,12,1994.755,8712,0.82418,29473
A_dice,A_dice_s1,20,1,oracle_sever,0,12,2259.631,8712,0.82873,29355
A_dice,A_dice_s1,20,1,oracle_all,0,12,8712.0,8712,0.85217,30536
A_dice,A_dice_s1,20,1,raw,0,13,1604.837,10186,0.819,31553
A_dice,A_dice_s1,20,1,closing,6,13,5130.965,10186,0.7371,42038
A_dice,A_dice_s1,20,1,closing_fair,1,13,1929.372,10186,0.81884,31778
A_dice,A_dice_s1,20,1,oracle_sever,0,13,1863.08,10186,0.82519,31889
A_dice,A_dice_s1,20,1,oracle_all,0,13,9934.041,10186,0.85782,33722
A_dice,A_dice_s1,20,1,raw,0,14,3771.63,8358,0.82086,29150
A_dice,A_dice_s1,20,1,closing,6,14,5113.919,8358,0.73305,38072
A_dice,A_dice_s1,20,1,closing_fair,1,14,3927.865,8358,0.81966,29344
A_dice,A_dice_s1,20,1,oracle_sever,0,14,4118.902,8358,0.82372,29286
A_dice,A_dice_s1,20,1,oracle_all,0,14,8358.0,8358,0.84468,30301
A_dice,A_dice_s1,20,1,raw,0,15,3625.974,7651,0.80418,27392
A_dice,A_dice_s1,20,1,closing,6,15,4043.054,7651,0.68663,38355
A_dice,A_dice_s1,20,1,closing_fair,1,15,3692.029,7651,0.80277,27589
A_dice,A_dice_s1,20,1,oracle_sever,0,15,3750.272,7651,0.80605,27472
A_dice,A_dice_s1,20,1,oracle_all,0,15,7617.076,7651,0.82697,28383
A_dice,A_dice_s1,20,1,raw,0,16,2435.423,8812,0.84128,30893
A_dice,A_dice_s1,20,1,closing,6,16,5333.371,8812,0.7565,40136
A_dice,A_dice_s1,20,1,closing_fair,1,16,2461.928,8812,0.83949,31129
A_dice,A_dice_s1,20,1,oracle_sever,0,16,2517.701,8812,0.8424,30952
A_dice,A_dice_s1,20,1,oracle_all,0,16,8665.243,8812,0.86157,31975
A_dice,A_dice_s1,20,1,raw,0,17,987.581,7984,0.82187,27422
A_dice,A_dice_s1,20,1,closing,6,17,3522.046,7984,0.75316,35545
A_dice,A_dice_s1,20,1,closing_fair,1,17,1267.88,7984,0.82282,27684
A_dice,A_dice_s1,20,1,oracle_sever,0,17,1187.427,7984,0.82692,27660
A_dice,A_dice_s1,20,1,oracle_all,0,17,7984.0,7984,0.8537,28957
A_dice,A_dice_s1,20,1,raw,0,18,3637.279,7659,0.82244,31030
A_dice,A_dice_s1,20,1,closing,6,18,4072.182,7659,0.74175,38727
A_dice,A_dice_s1,20,1,closing_fair,1,18,3666.222,7659,0.8197,31345
A_dice,A_dice_s1,20,1,oracle_sever,0,18,3852.067,7659,0.82363,31088
A_dice,A_dice_s1,20,1,oracle_all,0,18,7547.708,7659,0.83985,31888
A_dice,A_dice_s1,20,1,raw,0,19,5105.289,8476,0.85171,32162
A_dice,A_dice_s1,20,1,closing,6,19,5911.704,8476,0.73738,42550
A_dice,A_dice_s1,20,1,closing_fair,1,19,5288.58,8476,0.84923,32406
A_dice,A_dice_s1,20,1,oracle_sever,0,19,5411.71,8476,0.8544,32302
A_dice,A_dice_s1,20,1,oracle_all,0,19,8233.349,8476,0.86562,32892
A_dice,A_dice_s1,20,1,raw,0,20,1172.783,7373,0.81437,29138
A_dice,A_dice_s1,20,1,closing,6,20,4167.583,7373,0.71468,38728
A_dice,A_dice_s1,20,1,closing_fair,1,20,1540.37,7373,0.81192,29425
A_dice,A_dice_s1,20,1,oracle_sever,0,20,1309.972,7373,0.81732,29271
A_dice,A_dice_s1,20,1,oracle_all,0,20,7299.352,7373,0.83142,29917
A_dice,A_dice_s2,30,2,raw,0,01,4399.961,9312,0.82878,33107
A_dice,A_dice_s2,30,2,closing,6,01,5527.309,9312,0.72398,45126
A_dice,A_dice_s2,30,2,closing_fair,1,01,4646.796,9312,0.82647,33495
A_dice,A_dice_s2,30,2,oracle_sever,0,01,4723.665,9312,0.83179,33268
A_dice,A_dice_s2,30,2,oracle_all,0,01,8944.818,9312,0.85002,34262
A_dice,A_dice_s2,30,2,raw,0,02,5033.005,9289,0.8507,34671
A_dice,A_dice_s2,30,2,closing,6,02,5765.378,9289,0.75801,46267
A_dice,A_dice_s2,30,2,closing_fair,1,02,5105.326,9289,0.84969,35030
A_dice,A_dice_s2,30,2,oracle_sever,0,02,5568.881,9289,0.8538,34856
