run,config,seed,epoch,image,dice,cldice,betti0_err,erl,skel_px
A_dice_clw_s0,A_dice_clw,0,80,12,0.81203,0.83248,66.0,1328.798,8712
A_dice_clw_s0,A_dice_clw,0,80,13,0.81029,0.79315,102.0,1703.217,10186
A_dice_clw_s0,A_dice_clw,0,80,14,0.81474,0.82315,103.0,3291.872,8358
A_dice_clw_s0,A_dice_clw,0,80,15,0.79255,0.82038,107.0,3427.962,7651
A_dice_clw_s0,A_dice_clw,0,80,16,0.83323,0.86709,69.0,4189.499,8812
A_dice_clw_s0,A_dice_clw,0,80,17,0.80923,0.82874,83.0,2032.142,7984
A_dice_clw_s0,A_dice_clw,0,80,18,0.81851,0.86728,77.0,3635.537,7659
A_dice_clw_s0,A_dice_clw,0,80,19,0.84512,0.87166,104.0,4918.608,8476
A_dice_clw_s0,A_dice_clw,0,80,20,0.80344,0.83424,114.0,1056.289,7373
A_dice_clw_s0,A_dice_clw,0,90,01,0.81887,0.85935,67.0,4558.628,9312
A_dice_clw_s0,A_dice_clw,0,90,02,0.84434,0.84379,88.0,2935.398,9289
A_dice_clw_s0,A_dice_clw,0,90,03,0.79278,0.77085,121.0,1012.528,9221
A_dice_clw_s0,A_dice_clw,0,90,04,0.82426,0.79505,73.0,2909.412,8926
A_dice_clw_s0,A_dice_clw,0,90,05,0.80964,0.78393,84.0,2574.384,9586
A_dice_clw_s0,A_dice_clw,0,90,06,0.79917,0.77379,106.0,2905.7,9989
A_dice_clw_s0,A_dice_clw,0,90,07,0.80438,0.78752,100.0,2702.22,8968
A_dice_clw_s0,A_dice_clw,0,90,08,0.78634,0.76686,82.0,553.954,8585
A_dice_clw_s0,A_dice_clw,0,90,09,0.79193,0.78616,95.0,1139.286,8726
A_dice_clw_s0,A_dice_clw,0,90,10,0.80161,0.78537,76.0,2875.116,9137
A_dice_clw_s0,A_dice_clw,0,90,11,0.80265,0.7816,94.0,3110.25,10456
A_dice_clw_s0,A_dice_clw,0,90,12,0.81838,0.83536,87.0,1427.204,8712
A_dice_clw_s0,A_dice_clw,0,90,13,0.81077,0.79666,101.0,1946.44,10186
A_dice_clw_s0,A_dice_clw,0,90,14,0.81188,0.82193,87.0,3963.049,8358
A_dice_clw_s0,A_dice_clw,0,90,15,0.78611,0.81613,111.0,3781.999,7651
A_dice_clw_s0,A_dice_clw,0,90,16,0.83172,0.86711,89.0,4471.867,8812
A_dice_clw_s0,A_dice_clw,0,90,17,0.8062,0.82261,103.0,1324.593,7984
A_dice_clw_s0,A_dice_clw,0,90,18,0.81499,0.86294,84.0,1986.46,7659
A_dice_clw_s0,A_dice_clw,0,90,19,0.84006,0.87459,91.0,5342.273,8476
A_dice_clw_s0,A_dice_clw,0,90,20,0.79813,0.83762,108.0,1155.938,7373
A_dice_clw_s0,A_dice_clw,0,100,01,0.82098,0.85382,83.0,3705.525,9312
A_dice_clw_s0,A_dice_clw,0,100,02,0.84594,0.84247,98.0,2628.347,9289
