run,config,image,min_size,dice,cldice,b0_pred,b0_gt,betti0_err,n,on,off,off_px,median_off
B_cldice_s0,B_cldice,07,20,0.8142679705403845,0.7997456147765957,13,2,11,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,07,50,0.8135205518018018,0.7960575163658717,3,2,1,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,07,100,0.8133711607252991,0.7945912986043815,2,2,0,75,36,39,205.0,4.0
B_cldice_s0,B_cldice,08,0,0.7923017592830646,0.7804912159024946,102,3,99,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,2,0.7922982233735693,0.7806418866292977,77,3,74,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,5,0.7922314383977341,0.7806020002236539,57,3,54,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,10,0.7930202133736249,0.7822946407612695,41,3,38,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,20,0.79320029563932,0.7819519482824063,29,3,26,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,50,0.7920116357126874,0.7767115376831596,12,3,9,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,08,100,0.7906173766185025,0.7717448356996468,7,3,4,102,58,44,289.0,3.5
B_cldice_s0,B_cldice,09,0,0.7982192936008315,0.7956980649172927,64,3,61,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,2,0.7983443838518577,0.7962035433654432,51,3,48,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,5,0.7982173708182818,0.7962052030949321,38,3,35,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,10,0.7979413035791458,0.7954633334410316,33,3,30,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,20,0.7974566428473001,0.794135898324673,25,3,22,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,50,0.7940260616037604,0.7871921880805604,14,3,11,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,09,100,0.7924204989240455,0.7820063257649376,10,3,7,64,45,19,52.0,1.0
B_cldice_s0,B_cldice,10,0,0.8044076131499863,0.7845756268709008,78,3,75,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,2,0.804562100315193,0.785176835356493,60,3,57,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,5,0.8047188388884837,0.7854800282624161,45,3,42,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,10,0.8049150097679428,0.7861370681485882,34,3,31,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,20,0.8057382605668639,0.7868471837461153,20,3,17,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,50,0.8057174474363703,0.7838787585766531,8,3,5,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,10,100,0.8049490808584837,0.7791798018666752,4,3,1,78,40,38,210.0,3.0
B_cldice_s0,B_cldice,11,0,0.8060806345009914,0.7831939581028524,70,3,67,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,2,0.8062479338842975,0.7838051962727562,50,3,47,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,5,0.8063961371829216,0.7842772766852399,40,3,37,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,10,0.8066951425449489,0.7853261503093616,30,3,27,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,20,0.8073954823826199,0.7863449526621866,19,3,16,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,50,0.8073630279868493,0.7854854380522686,6,3,3,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,11,100,0.8072500878646383,0.7836541144865948,3,3,0,70,35,35,174.0,2.0
B_cldice_s0,B_cldice,12,0,0.8218733080671359,0.8363034957142688,72,1,71,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,12,2,0.8219058433050922,0.8364488365535669,60,1,59,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,12,5,0.822146829421846,0.8373047592516457,40,1,39,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,12,10,0.8223300460684195,0.8375546657174622,27,1,26,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,12,20,0.823409669211196,0.8400466675300906,19,1,18,72,37,35,227.0,4.0
B_cldice_s0,B_cldice,12,50,0.8228543178487561,0.8377205420838886,7,1,6,72,37,35,227.0,4.0
