method,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95
frangi_s1-5_f0.12,27,0.5864457934629763,0.5981724907884285,1929,52,1932,3,13.435015956036224
frangi_s1-5_f0.14,27,0.5721746561792774,0.560633643624699,2681,39,2684,3,14.7648230602334
frangi_s1-7_f0.08,27,0.5558918607284782,0.6038734420273043,665,39,668,3,14.0
frangi_s1-7_f0.1,27,0.5873877245508982,0.6168163491855473,1307,23,1310,3,13.0
frangi_s1-7_f0.12,27,0.5881606475288953,0.5911155461758328,2110,11,2113,3,13.601470508735444
frangi_s1-7_f0.14,27,0.572807697785937,0.5529319305076662,2825,8,2828,3,14.7648230602334
sato_s1-3_f0.08,27,0.4333395103671217,0.45385515559419154,183,93,186,3,27.80107859191404
sato_s1-3_f0.1,27,0.5255988023952096,0.5506046582868515,197,88,200,3,22.20360331117452
sato_s1-3_f0.12,27,0.5947456871420242,0.6232380665895095,225,79,228,3,18.867962264113206
sato_s1-3_f0.14,27,0.6341810815515849,0.6658141627872344,353,68,356,3,15.620499351813308
sato_s1-5_f0.08,27,0.3231824078077707,0.34481879478359867,137,95,140,3,37.56259963189235
sato_s1-5_f0.1,27,0.4163922155688623,0.446716650778273,167,92,170,3,28.844410203711913
sato_s1-5_f0.12,27,0.49480399218026544,0.5283042972645234,179,83,182,3,23.769728648009426
sato_s1-5_f0.14,27,0.5520439330875022,0.591628475744673,202,80,205,3,20.808652046684813
sato_s1-7_f0.08,27,0.2603825642926267,0.26616747021772535,134,83,137,3,44.40720662234904
sato_s1-7_f0.1,27,0.3463323353293413,0.36849079626419773,199,84,202,3,32.202484376209235
sato_s1-7_f0.12,27,0.4291936756182049,0.4603335078262051,203,83,206,3,28.30194339616981
sato_s1-7_f0.14,27,0.4915568075711776,0.5273512986994374,236,82,239,3,22.825424421026653
meijering_s1-3_f0.08,27,0.4343690159985175,0.4850816890433642,357,88,360,3,21.470910553583888
meijering_s1-3_f0.1,27,0.5272455089820359,0.5768857293952296,435,82,438,3,18.027756377319946
meijering_s1-3_f0.12,27,0.5845251569091471,0.6280485213433221,644,80,647,3,15.0
