run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
vk_f0_s0,vk,vk,im0163,Q3,6,12118,0.8742,0.9496,0.91891,0.98242
vk_f0_s0,vk,vk,im0163,Q4_clearest,3,23198,0.96503,0.98933,0.98254,0.99621
vk_f0_s0,vk,ah,im0235,Q1_dimmest,73,3057,0.44058,0.44832,0.33958,0.65949
vk_f0_s0,vk,ah,im0235,Q2,36,6171,0.62239,0.70103,0.56174,0.93219
vk_f0_s0,vk,ah,im0235,Q3,8,10228,0.80497,0.89627,0.81958,0.98881
vk_f0_s0,vk,ah,im0235,Q4_clearest,3,18245,0.96071,0.9866,0.97752,0.99585
vk_f0_s0,vk,vk,im0235,Q1_dimmest,268,12730,0.47298,0.35562,0.69399,0.23906
vk_f0_s0,vk,vk,im0235,Q2,75,13578,0.78859,0.75403,0.86341,0.66924
vk_f0_s0,vk,vk,im0235,Q3,8,14180,0.9207,0.94291,0.94083,0.94499
vk_f0_s0,vk,vk,im0235,Q4_clearest,6,19269,0.98746,0.99427,0.99575,0.9928
vk_f0_s0,vk,ah,im0236,Q1_dimmest,57,3357,0.4673,0.44833,0.33308,0.68551
vk_f0_s0,vk,ah,im0236,Q2,34,6379,0.65824,0.72635,0.60872,0.90033
vk_f0_s0,vk,ah,im0236,Q3,7,11731,0.83604,0.92604,0.87774,0.97996
vk_f0_s0,vk,ah,im0236,Q4_clearest,4,16893,0.96411,0.98622,0.9763,0.99635
vk_f0_s0,vk,vk,im0236,Q1_dimmest,253,11583,0.49765,0.39668,0.63487,0.28846
vk_f0_s0,vk,vk,im0236,Q2,96,12232,0.80111,0.77041,0.84435,0.70838
vk_f0_s0,vk,vk,im0236,Q3,17,14892,0.92721,0.95836,0.95838,0.95835
vk_f0_s0,vk,vk,im0236,Q4_clearest,3,17515,0.98253,0.99303,0.99017,0.99592
vk_f0_s0,vk,ah,im0239,Q1_dimmest,82,3436,0.42753,0.44475,0.38776,0.52139
vk_f0_s0,vk,ah,im0239,Q2,60,6687,0.65595,0.70377,0.60913,0.83323
vk_f0_s0,vk,ah,im0239,Q3,22,13176,0.84462,0.9098,0.85043,0.97809
vk_f0_s0,vk,ah,im0239,Q4_clearest,1,13272,0.9686,0.98951,0.98006,0.99915
vk_f0_s0,vk,vk,im0239,Q1_dimmest,174,9318,0.43289,0.38493,0.59936,0.2835
vk_f0_s0,vk,vk,im0239,Q2,117,12844,0.74392,0.71874,0.8095,0.64628
vk_f0_s0,vk,vk,im0239,Q3,27,17078,0.93397,0.95653,0.96475,0.94845
vk_f0_s0,vk,vk,im0239,Q4_clearest,0,13831,0.98891,0.99874,0.99834,0.99914
vk_f0_s0,vk,ah,im0240,Q1_dimmest,66,10396,0.51474,0.52957,0.48836,0.57839
vk_f0_s0,vk,ah,im0240,Q2,38,13292,0.77447,0.79946,0.71713,0.90314
vk_f0_s0,vk,ah,im0240,Q3,0,12242,0.91886,0.97212,0.94834,0.99712
vk_f0_s0,vk,ah,im0240,Q4_clearest,0,7313,0.9926,0.9994,0.9988,1.0
vk_f0_s0,vk,vk,im0240,Q1_dimmest,252,23754,0.46559,0.37933,0.76239,0.25247
vk_f0_s0,vk,vk,im0240,Q2,54,19679,0.84437,0.82771,0.92077,0.75173
vk_f0_s0,vk,vk,im0240,Q3,2,13776,0.96765,0.98677,0.9858,0.98774
vk_f0_s0,vk,vk,im0240,Q4_clearest,0,7375,0.99655,1.0,1.0,1.0
vk_f0_s0,vk,ah,im0255,Q1_dimmest,81,2995,0.43222,0.39613,0.28791,0.63469
vk_f0_s0,vk,ah,im0255,Q2,65,7010,0.64933,0.69051,0.55784,0.90598
vk_f0_s0,vk,ah,im0255,Q3,11,11944,0.86581,0.93808,0.89073,0.99076
vk_f0_s0,vk,ah,im0255,Q4_clearest,2,15954,0.9751,0.9956,0.99232,0.9989
vk_f0_s0,vk,vk,im0255,Q1_dimmest,301,11173,0.45511,0.36535,0.65743,0.25296
vk_f0_s0,vk,vk,im0255,Q2,148,13470,0.77139,0.73747,0.84702,0.653
vk_f0_s0,vk,vk,im0255,Q3,16,14513,0.93893,0.96547,0.96658,0.96436
vk_f0_s0,vk,vk,im0255,Q4_clearest,2,16378,0.98764,0.99811,0.99846,0.99776
vk_f0_s0,vk,ah,im0291,Q1_dimmest,81,5612,0.56513,0.5869,0.61488,0.56136
vk_f0_s0,vk,ah,im0291,Q2,15,6266,0.78793,0.84984,0.78885,0.92104
vk_f0_s0,vk,ah,im0291,Q3,5,5570,0.91202,0.9728,0.9575,0.98861
vk_f0_s0,vk,ah,im0291,Q4_clearest,0,3970,0.98559,0.99846,0.99693,1.0
vk_f0_s0,vk,vk,im0291,Q1_dimmest,131,8426,0.51458,0.43862,0.69174,0.32112
vk_f0_s0,vk,vk,im0291,Q2,32,7773,0.83762,0.83548,0.87864,0.79637
vk_f0_s0,vk,vk,im0291,Q3,4,5973,0.94081,0.97865,0.983,0.97434
vk_f0_s0,vk,vk,im0291,Q4_clearest,0,3978,0.9866,0.99949,0.99898,1.0
vk_f0_s0,vk,ah,im0319,Q1_dimmest,86,3917,0.45036,0.46043,0.39495,0.55194
vk_f0_s0,vk,ah,im0319,Q2,41,6569,0.73237,0.80318,0.71894,0.90977
vk_f0_s0,vk,ah,im0319,Q3,5,5701,0.88336,0.93334,0.88356,0.98907
vk_f0_s0,vk,ah,im0319,Q4_clearest,0,2058,0.98492,0.98967,0.97956,1.0
vk_f0_s0,vk,vk,im0319,Q1_dimmest,179,8846,0.45082,0.41591,0.62052,0.31278
vk_f0_s0,vk,vk,im0319,Q2,53,9216,0.81584,0.84449,0.86831,0.82194
vk_f0_s0,vk,vk,im0319,Q3,3,6429,0.93389,0.96677,0.95483,0.97902
vk_f0_s0,vk,vk,im0319,Q4_clearest,0,2090,0.99263,1.0,1.0,1.0
vk_f0_s0,vk,ah,im0324,Q1_dimmest,82,6617,0.33549,0.38114,0.37222,0.39049
vk_f0_s0,vk,ah,im0324,Q2,66,8846,0.6207,0.6486,0.57943,0.73652
vk_f0_s0,vk,ah,im0324,Q3,7,8400,0.80814,0.87386,0.81933,0.93617
vk_f0_s0,vk,ah,im0324,Q4_clearest,0,4398,0.95452,0.97791,0.96831,0.98771
vk_f0_s0,vk,vk,im0324,Q1_dimmest,200,14643,0.35346,0.31949,0.68241,0.20857
vk_f0_s0,vk,vk,im0324,Q2,92,13140,0.69095,0.65909,0.78648,0.56722
vk_f0_s0,vk,vk,im0324,Q3,12,9911,0.86374,0.90196,0.92099,0.88371
vk_f0_s0,vk,vk,im0324,Q4_clearest,0,4515,0.96845,0.98253,0.97814,0.98697
soft_f0_s0,soft,ah,im0162,Q1_dimmest,63,1234,0.47674,0.52744,0.44841,0.64029
soft_f0_s0,soft,ah,im0162,Q2,79,4015,0.6287,0.70427,0.59887,0.85469
soft_f0_s0,soft,ah,im0162,Q3,34,8765,0.81375,0.89597,0.83598,0.96524
soft_f0_s0,soft,ah,im0162,Q4_clearest,5,16166,0.95659,0.98467,0.97578,0.99372
soft_f0_s0,soft,vk,im0162,Q1_dimmest,263,7724,0.26562,0.22219,0.75047,0.1304
soft_f0_s0,soft,vk,im0162,Q2,207,11002,0.65284,0.6438,0.8903,0.5042
soft_f0_s0,soft,vk,im0162,Q3,40,12733,0.91449,0.93494,0.9696,0.90268
soft_f0_s0,soft,vk,im0162,Q4_clearest,5,17043,0.98108,0.99341,0.9941,0.99272
