run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
vk_f0_s0,vk,im0324,Q2,107,11.0,0.42056,0.23364,0.62294,0.46599,0.34573,0.67952,0.77201
vk_f0_s0,vk,im0324,Q3,68,16.0,0.19118,0.39706,0.73566,0.2528,0.1711,0.8736,0.89238
vk_f0_s0,vk,im0324,Q4_clearest,23,16.0,0.0,0.47826,nan,nan,0.07283,nan,0.96358
soft_f0_s0,soft,im0162,Q1_dimmest,39,4.0,0.74359,0.05128,0.55517,0.63071,0.55754,0.47332,0.71755
soft_f0_s0,soft,im0162,Q2,117,13.0,0.57265,0.29915,0.80239,0.59607,0.32376,0.56977,0.80461
soft_f0_s0,soft,im0162,Q3,136,24.0,0.19853,0.47059,0.88209,0.50836,0.18569,0.64606,0.89924
soft_f0_s0,soft,im0162,Q4_clearest,181,17.0,0.0221,0.38122,0.7839,0.31415,0.05404,0.84292,0.97298
soft_f0_s0,soft,im0163,Q1_dimmest,20,8.0,0.8,0.0,1.0,0.69124,0.05425,0.48608,0.97287
soft_f0_s0,soft,im0163,Q2,64,21.5,0.65625,0.29688,0.84199,0.52993,0.22982,0.68104,0.86072
soft_f0_s0,soft,im0163,Q3,57,30.0,0.17544,0.47368,0.84894,0.44017,0.1042,0.70748,0.9479
soft_f0_s0,soft,im0163,Q4_clearest,132,23.0,0.00758,0.42424,0.98473,0.49414,0.05172,0.24707,0.97414
soft_f0_s0,soft,im0235,Q1_dimmest,57,7.0,0.64912,0.15789,0.74189,0.59536,0.36942,0.55394,0.79339
soft_f0_s0,soft,im0235,Q2,72,18.5,0.47222,0.30556,0.85991,0.57209,0.26237,0.54181,0.85736
soft_f0_s0,soft,im0235,Q3,65,36.0,0.13846,0.52308,0.91468,0.40458,0.09987,0.6603,0.95006
soft_f0_s0,soft,im0235,Q4_clearest,131,18.0,0.00763,0.36641,1.0,0.89555,0.04949,0.55222,0.97196
soft_f0_s0,soft,im0236,Q1_dimmest,49,7.0,0.65306,0.10204,0.77574,0.63513,0.3745,0.54976,0.741
soft_f0_s0,soft,im0236,Q2,79,13.0,0.49367,0.29114,0.76795,0.58015,0.34599,0.55404,0.77591
soft_f0_s0,soft,im0236,Q3,67,28.0,0.10448,0.46269,0.92381,0.45227,0.13271,0.6494,0.9229
soft_f0_s0,soft,im0236,Q4_clearest,135,18.0,0.00741,0.4,0.97761,0.41679,0.06312,0.20839,0.96432
soft_f0_s0,soft,im0239,Q1_dimmest,31,5.0,0.54839,0.12903,0.80252,0.69415,0.37264,0.43781,0.7849
