run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
A_dice_s2,A_dice,stare,im0291,0.7658847588115001,0.7809013923452998,92,11,97,5,43.41658669218482,799.36,4590.45,106,6
A_dice_s2,A_dice,stare,im0319,0.6601407831060273,0.7059040058778833,126,16,133,7,38.897300677553446,179.65,2075.24,120,23
A_dice_s2,A_dice,stare,im0324,0.4806085430076068,0.5605242195375332,155,9,160,5,46.52956049652737,57.92,3671.72,93,23
A_dice_s3,A_dice,stare,im0001,0.6614949124014995,0.7451680849170106,158,14,162,4,14.866068747318506,660.21,7318.51,158,30
A_dice_s3,A_dice,stare,im0002,0.7323340471092077,0.7754054625896415,114,16,116,2,14.317821063276353,1201.48,7020.85,174,27
A_dice_s3,A_dice,stare,im0003,0.6972951471758154,0.7667446475425578,101,5,110,9,14.317821063276353,657.62,4712.73,113,19
A_dice_s3,A_dice,stare,im0004,0.5835271473253669,0.7086731697337076,136,15,147,11,28.635642126552707,138.1,2264.78,132,29
A_dice_s3,A_dice,stare,im0005,0.7562053216838761,0.7761315122710851,171,2,180,9,23.021728866442675,517.92,2831.52,97,10
A_dice_s3,A_dice,stare,im0044,0.739573739234411,0.7886535828998135,142,6,158,16,14.212670403551895,511.92,1471.06,109,22
A_dice_s3,A_dice,stare,im0077,0.7584656084656085,0.7984099804857139,159,8,166,7,14.23895806848301,2001.45,7243.06,75,7
A_dice_s3,A_dice,stare,im0081,0.7296210487070917,0.78161538591383,157,4,160,3,17.11724276862369,2637.66,4825.14,73,16
A_dice_s3,A_dice,stare,im0082,0.760376168960807,0.8048252014569941,148,9,156,8,11.180339887498949,1824.63,6053.12,112,13
A_dice_s3,A_dice,stare,im0139,0.767974358974359,0.8097450318500019,119,12,123,4,10.04987562112089,924.26,8206.02,133,22
A_dice_s3,A_dice,stare,im0162,0.7763589832915734,0.8104400170570818,176,14,180,4,10.770329614269007,7410.19,10366.0,155,6
A_dice_s3,A_dice,stare,im0163,0.7764539735524457,0.8400671589010738,95,6,96,1,12.0,6047.6,8302.0,53,5
A_dice_s3,A_dice,stare,im0235,0.7944686682446742,0.8411235494838184,93,2,102,9,7.280109889280518,1914.39,7740.86,130,9
A_dice_s3,A_dice,stare,im0236,0.7807243676459328,0.8272277066994115,131,20,134,3,9.433981132056603,1535.95,7869.82,160,18
