kind,pair,trained_on,image,band,n_px,contested_frac,auroc_single,mean_single_contested,mean_single_agreed,auroc_ens_mean,mean_ens_mean_contested,mean_ens_mean_agreed,auroc_disagree,mean_disagree_contested,mean_disagree_agreed
seed,soft_f0,soft,im0240,Q2,20238,0.37084,0.56184,0.27971,0.22574,0.58579,0.33453,0.25975,0.57362,0.14285,0.11752
seed,soft_f0,soft,im0240,Q3,13823,0.11777,0.83329,0.3266,0.09057,0.84683,0.35236,0.08866,0.80069,0.12875,0.03451
seed,soft_f0,soft,im0240,Q4_clearest,7375,0.00841,0.89047,0.09327,0.01225,0.88926,0.10561,0.01023,0.86146,0.03626,0.00418
seed,soft_f0,soft,im0255,Q1_dimmest,12113,0.83035,0.28788,0.17393,0.32818,0.28792,0.21119,0.38928,0.32674,0.09528,0.16306
seed,soft_f0,soft,im0255,Q2,14210,0.55876,0.53032,0.30566,0.27386,0.56505,0.36034,0.29808,0.57404,0.14819,0.11236
seed,soft_f0,soft,im0255,Q3,14708,0.20118,0.80583,0.35639,0.12445,0.82314,0.38609,0.12362,0.77752,0.13516,0.04376
seed,soft_f0,soft,im0255,Q4_clearest,16385,0.02673,0.93094,0.22208,0.02299,0.93889,0.24716,0.02188,0.88252,0.07658,0.00835
seed,soft_f0,soft,im0291,Q1_dimmest,10378,0.64733,0.33219,0.17159,0.26469,0.33576,0.21505,0.33342,0.36681,0.11742,0.17391
seed,soft_f0,soft,im0291,Q2,8228,0.29375,0.63262,0.31207,0.19455,0.66516,0.37369,0.21775,0.637,0.15917,0.10067
seed,soft_f0,soft,im0291,Q3,6036,0.08764,0.86954,0.38751,0.09296,0.88515,0.4097,0.08858,0.83487,0.15456,0.0415
seed,soft_f0,soft,im0291,Q4_clearest,3979,0.00251,0.9418,0.34634,0.01888,0.95581,0.24506,0.01541,0.86868,0.13381,0.00766
seed,soft_f0,soft,im0319,Q1_dimmest,10024,0.72676,0.32263,0.16056,0.27936,0.3183,0.2019,0.35051,0.35227,0.11343,0.18692
seed,soft_f0,soft,im0319,Q2,9867,0.40022,0.60161,0.29455,0.21454,0.63877,0.36759,0.24529,0.62534,0.17721,0.11766
seed,soft_f0,soft,im0319,Q3,6553,0.14894,0.81884,0.30128,0.09178,0.82919,0.31559,0.09093,0.7751,0.1242,0.04039
seed,soft_f0,soft,im0319,Q4_clearest,2090,0.01531,0.91762,0.06928,0.01101,0.91624,0.05397,0.00967,0.85837,0.02099,0.00494
seed,soft_f0,soft,im0324,Q1_dimmest,16445,0.70721,0.29473,0.11184,0.25055,0.30046,0.14962,0.30402,0.31226,0.09228,0.19365
seed,soft_f0,soft,im0324,Q2,14329,0.46563,0.48258,0.23971,0.24164,0.50512,0.31738,0.30756,0.49733,0.16943,0.17802
seed,soft_f0,soft,im0324,Q3,10272,0.21739,0.7137,0.29778,0.14851,0.72147,0.3639,0.19163,0.67428,0.16796,0.11499
seed,soft_f0,soft,im0324,Q4_clearest,4535,0.03462,0.82683,0.21846,0.06239,0.8315,0.2007,0.07023,0.76728,0.06398,0.04825
seed,ah_f1,ah,im0001,Q1_dimmest,11037,0.61131,0.34192,0.1078,0.16989,0.31771,0.16955,0.31945,0.31943,0.12017,0.24491
seed,ah_f1,ah,im0001,Q2,14223,0.41046,0.56822,0.1926,0.13662,0.56843,0.28111,0.22643,0.55606,0.18446,0.16645
seed,ah_f1,ah,im0001,Q3,13100,0.18954,0.77406,0.21429,0.05774,0.79196,0.28041,0.07742,0.7709,0.17353,0.0512
seed,ah_f1,ah,im0001,Q4_clearest,5805,0.0503,0.88336,0.12947,0.01239,0.89861,0.15831,0.01058,0.87292,0.10739,0.0057
seed,ah_f1,ah,im0002,Q1_dimmest,11892,0.72208,0.40352,0.12207,0.12534,0.42768,0.21641,0.21623,0.43077,0.16427,0.16512
seed,ah_f1,ah,im0002,Q2,9635,0.39938,0.66724,0.18319,0.08535,0.69568,0.25953,0.10998,0.68595,0.16731,0.07195
seed,ah_f1,ah,im0002,Q3,7577,0.21288,0.79206,0.15296,0.03401,0.80367,0.18523,0.03711,0.7906,0.10925,0.02282
seed,ah_f1,ah,im0002,Q4_clearest,4013,0.11612,0.85766,0.10875,0.00944,0.87589,0.17309,0.01888,0.85757,0.12652,0.01445
seed,ah_f1,ah,im0003,Q1_dimmest,5546,0.82726,0.30471,0.07993,0.12005,0.27802,0.15239,0.3167,0.28218,0.11804,0.26519
seed,ah_f1,ah,im0003,Q2,6828,0.65861,0.52458,0.14327,0.08664,0.55086,0.23412,0.15027,0.54614,0.16536,0.11521
seed,ah_f1,ah,im0003,Q3,9422,0.45426,0.7468,0.1376,0.03586,0.77208,0.19011,0.04503,0.75535,0.12584,0.03065
seed,ah_f1,ah,im0003,Q4_clearest,10750,0.18372,0.85196,0.05928,0.00655,0.88007,0.1052,0.00897,0.85202,0.08078,0.00627
seed,ah_f1,ah,im0004,Q1_dimmest,24672,0.64733,0.31006,0.08054,0.15002,0.30878,0.15609,0.28615,0.31641,0.12432,0.22312
seed,ah_f1,ah,im0004,Q2,12291,0.30551,0.57259,0.15887,0.10746,0.62041,0.26309,0.15612,0.61279,0.19043,0.11084
seed,ah_f1,ah,im0004,Q3,3923,0.10553,0.7997,0.1045,0.02748,0.78632,0.11235,0.03299,0.76581,0.06892,0.0219
seed,ah_f1,ah,im0004,Q4_clearest,190,0.07895,0.81638,0.06802,0.00295,0.83924,0.09276,0.00401,0.79962,0.02998,0.00236
seed,ah_f1,ah,im0005,Q1_dimmest,10820,0.81885,0.24756,0.08299,0.1957,0.25296,0.13004,0.28979,0.27162,0.09269,0.19522
seed,ah_f1,ah,im0005,Q2,11538,0.54481,0.44898,0.16684,0.18418,0.46689,0.24451,0.25936,0.47701,0.15961,0.16434
seed,ah_f1,ah,im0005,Q3,12507,0.29879,0.65437,0.20771,0.11846,0.68444,0.28422,0.1477,0.67426,0.16926,0.08364
seed,ah_f1,ah,im0005,Q4_clearest,16858,0.10802,0.73775,0.12601,0.03242,0.79446,0.20801,0.03476,0.77065,0.13762,0.01804
seed,ah_f1,ah,im0044,Q1_dimmest,10572,0.87476,0.20291,0.0567,0.19366,0.17731,0.08542,0.32351,0.18926,0.05971,0.22907
seed,ah_f1,ah,im0044,Q2,11459,0.63732,0.38417,0.15026,0.19032,0.36228,0.2264,0.33108,0.36456,0.14889,0.24201
seed,ah_f1,ah,im0044,Q3,14003,0.29108,0.69079,0.22141,0.08786,0.71436,0.29012,0.11595,0.69925,0.17688,0.07515
seed,ah_f1,ah,im0044,Q4_clearest,13856,0.09209,0.82153,0.16338,0.02784,0.87343,0.30017,0.04017,0.85895,0.21858,0.02744
seed,ah_f1,ah,im0077,Q1_dimmest,7126,0.88633,0.2524,0.07727,0.183,0.23071,0.11578,0.30615,0.24934,0.07864,0.21044
seed,ah_f1,ah,im0077,Q2,10714,0.77739,0.41097,0.15652,0.18815,0.42176,0.22519,0.26064,0.43392,0.13943,0.15298
seed,ah_f1,ah,im0077,Q3,14332,0.42862,0.71305,0.23471,0.09782,0.73052,0.29359,0.11447,0.71673,0.15815,0.06015
seed,ah_f1,ah,im0077,Q4_clearest,23814,0.09368,0.91817,0.21974,0.02099,0.92496,0.25447,0.0237,0.90218,0.12736,0.01281
seed,ah_f1,ah,im0081,Q1_dimmest,10165,0.92514,0.21038,0.05379,0.1717,0.14185,0.07471,0.44396,0.14929,0.04793,0.37465
seed,ah_f1,ah,im0081,Q2,13744,0.77423,0.39713,0.14345,0.16746,0.39001,0.19935,0.25474,0.39405,0.12189,0.16854
seed,ah_f1,ah,im0081,Q3,17484,0.38183,0.73274,0.23225,0.07519,0.75149,0.3048,0.09652,0.73603,0.17988,0.06079
seed,ah_f1,ah,im0081,Q4_clearest,17465,0.06814,0.91041,0.20753,0.01801,0.91082,0.22111,0.02013,0.8812,0.10477,0.01136
seed,ah_f1,ah,im0082,Q1_dimmest,8734,0.861,0.18497,0.04972,0.17835,0.17033,0.072,0.29123,0.17805,0.05052,0.20214
seed,ah_f1,ah,im0082,Q2,10144,0.70268,0.37962,0.14437,0.19246,0.37827,0.20018,0.27598,0.38193,0.12425,0.18077
seed,ah_f1,ah,im0082,Q3,13510,0.35729,0.7141,0.26658,0.11757,0.7285,0.32543,0.13967,0.70953,0.1754,0.07978
seed,ah_f1,ah,im0082,Q4_clearest,20602,0.06315,0.93268,0.25493,0.02095,0.93718,0.29665,0.02352,0.91107,0.14079,0.01245
seed,ah_f1,ah,im0139,Q1_dimmest,17354,0.86418,0.3076,0.0867,0.16772,0.293,0.13627,0.2761,0.29771,0.09523,0.19828
seed,ah_f1,ah,im0139,Q2,17885,0.6463,0.48857,0.17335,0.1596,0.51123,0.25597,0.22585,0.50866,0.16669,0.14968
seed,ah_f1,ah,im0139,Q3,17437,0.2712,0.69102,0.19747,0.07045,0.73168,0.25225,0.07799,0.71797,0.14572,0.04458
seed,ah_f1,ah,im0139,Q4_clearest,12621,0.04255,0.90655,0.20862,0.01226,0.92579,0.26383,0.01272,0.90689,0.15003,0.00597
seed,vk_f1,vk,im0001,Q1_dimmest,11037,0.61131,0.5785,0.21666,0.15019,0.53471,0.2958,0.27582,0.50724,0.17368,0.21069
seed,vk_f1,vk,im0001,Q2,14223,0.41046,0.72259,0.16113,0.06674,0.71679,0.2103,0.10217,0.68082,0.11868,0.07375
seed,vk_f1,vk,im0001,Q3,13100,0.18954,0.82825,0.05689,0.00872,0.82686,0.07638,0.01372,0.78632,0.04435,0.0099
seed,vk_f1,vk,im0001,Q4_clearest,5805,0.0503,0.89312,0.02918,0.00225,0.89965,0.0655,0.00443,0.85215,0.05367,0.00379
seed,vk_f1,vk,im0002,Q1_dimmest,11892,0.72208,0.60969,0.18034,0.11187,0.62732,0.25393,0.1527,0.61483,0.16553,0.09717
seed,vk_f1,vk,im0002,Q2,9635,0.39938,0.78882,0.10579,0.02272,0.79799,0.14798,0.03111,0.76633,0.09175,0.02028
seed,vk_f1,vk,im0002,Q3,7577,0.21288,0.84197,0.06413,0.00797,0.85324,0.08339,0.01262,0.82362,0.05572,0.00955
seed,vk_f1,vk,im0002,Q4_clearest,4013,0.11612,0.85635,0.06207,0.00934,0.84658,0.0889,0.00888,0.7884,0.07552,0.00787
seed,vk_f1,vk,im0003,Q1_dimmest,5546,0.82726,0.53915,0.14382,0.10465,0.5518,0.21647,0.16324,0.54517,0.13884,0.11724
seed,vk_f1,vk,im0003,Q2,6828,0.65861,0.79259,0.12153,0.02441,0.78414,0.16791,0.04346,0.75727,0.10884,0.02908
seed,vk_f1,vk,im0003,Q3,9422,0.45426,0.81205,0.06514,0.00686,0.8186,0.08801,0.00836,0.78633,0.06081,0.0054
seed,vk_f1,vk,im0003,Q4_clearest,10750,0.18372,0.80526,0.02274,0.00102,0.82455,0.03954,0.00184,0.77872,0.03117,0.0013
seed,vk_f1,vk,im0004,Q1_dimmest,24672,0.64733,0.5575,0.16824,0.12399,0.55369,0.24803,0.18707,0.5442,0.16797,0.12681
seed,vk_f1,vk,im0004,Q2,12291,0.30551,0.76407,0.13092,0.03014,0.79051,0.1808,0.03922,0.7719,0.10644,0.02331
