run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
vk_f0_s0,vk,im0239,Q4_clearest,133,18.0,0.02256,0.0,0.9,0.13527,0.01274,0.93236,0.99363
vk_f0_s0,vk,im0240,Q1_dimmest,100,9.5,0.55,0.0,0.59636,0.48967,0.39304,0.67105,0.75969
vk_f0_s0,vk,im0240,Q2,120,19.0,0.45833,0.0,0.86406,0.46871,0.13348,0.67907,0.91901
vk_f0_s0,vk,im0240,Q3,84,21.5,0.03571,0.0,0.97119,0.29086,0.01038,0.85457,0.99481
vk_f0_s0,vk,im0240,Q4_clearest,54,18.0,0.0,0.0,nan,nan,0.0133,nan,0.99335
vk_f0_s0,vk,im0255,Q1_dimmest,68,9.5,0.67647,0.0,0.82708,0.50479,0.23015,0.64876,0.86109
vk_f0_s0,vk,im0255,Q2,149,19.0,0.49664,0.0,0.78144,0.36883,0.14885,0.75808,0.92557
vk_f0_s0,vk,im0255,Q3,128,23.0,0.0625,0.0,0.85521,0.32354,0.06172,0.8336,0.96781
vk_f0_s0,vk,im0255,Q4_clearest,191,15.0,0.00524,0.0,1.0,0.67262,0.00469,0.66369,0.99766
vk_f0_s0,vk,im0291,Q1_dimmest,42,14.0,0.54762,0.0,0.68879,0.45178,0.32151,0.63666,0.81424
vk_f0_s0,vk,im0291,Q2,41,28.0,0.2439,0.0,0.90968,0.47715,0.13739,0.69369,0.89412
vk_f0_s0,vk,im0291,Q3,29,20.0,0.0,0.0,nan,nan,0.09607,nan,0.94914
vk_f0_s0,vk,im0291,Q4_clearest,17,17.0,0.0,0.0,nan,nan,0.01547,nan,0.99226
vk_f0_s0,vk,im0319,Q1_dimmest,38,12.0,0.65789,0.0,0.63692,0.47354,0.39472,0.6365,0.78925
vk_f0_s0,vk,im0319,Q2,60,24.0,0.3,0.0,0.7963,0.39138,0.1521,0.6601,0.91835
vk_f0_s0,vk,im0319,Q3,20,40.5,0.15,0.0,0.96078,0.247,0.04274,0.8765,0.97863
vk_f0_s0,vk,im0319,Q4_clearest,13,32.0,0.0,0.0,nan,nan,0.00134,nan,0.99933
vk_f0_s0,vk,im0324,Q1_dimmest,74,6.0,0.59459,0.0,0.53864,0.54076,0.50938,0.60222,0.58896
vk_f0_s0,vk,im0324,Q2,108,11.0,0.41667,0.0,0.63739,0.4643,0.33287,0.68037,0.77932
vk_f0_s0,vk,im0324,Q3,68,16.0,0.16176,0.0,0.74801,0.21996,0.14329,0.89002,0.90706
