run,config,image,operation,width_fraction,radius_px,dice,cldice,betti0_err,betti1_err,betti1_signed
A_dice_s0,A_dice,15,closing,0.75,2,0.78455,0.81278,31,20,-20
A_dice_s0,A_dice,15,closing,1.0,3,0.76796,0.7951,29,15,-15
A_dice_s0,A_dice,15,closing,1.5,4,0.74778,0.7739,27,16,-16
A_dice_s0,A_dice,15,closing,2.0,6,0.67037,0.71257,20,16,-16
A_dice_s0,A_dice,15,bridge_only,0.0,0,0.79046,0.81821,40,23,-23
A_dice_s0,A_dice,15,bridge_only,0.25,1,0.78978,0.8184,35,23,-23
A_dice_s0,A_dice,15,bridge_only,0.5,1,0.78978,0.8184,35,23,-23
A_dice_s0,A_dice,15,bridge_only,0.75,2,0.7873,0.81557,33,20,-20
A_dice_s0,A_dice,15,bridge_only,1.0,3,0.77955,0.80767,31,18,-18
A_dice_s0,A_dice,15,bridge_only,1.5,4,0.76631,0.79819,29,15,-15
A_dice_s0,A_dice,15,bridge_only,2.0,6,0.70569,0.76026,24,12,-12
A_dice_s0,A_dice,16,closing,0.0,0,0.83441,0.86667,26,16,-16
A_dice_s0,A_dice,16,closing,0.25,1,0.83378,0.86705,24,15,-15
A_dice_s0,A_dice,16,closing,0.5,1,0.83378,0.86705,24,15,-15
A_dice_s0,A_dice,16,closing,0.75,2,0.82788,0.86251,19,14,-14
A_dice_s0,A_dice,16,closing,1.0,3,0.81328,0.84787,15,20,-20
A_dice_s0,A_dice,16,closing,1.5,4,0.7987,0.83739,13,21,-21
A_dice_s0,A_dice,16,closing,2.0,6,0.7539,0.80304,10,22,-22
A_dice_s0,A_dice,16,bridge_only,0.0,0,0.83441,0.86667,26,16,-16
A_dice_s0,A_dice,16,bridge_only,0.25,1,0.83446,0.86712,24,12,-12
A_dice_s0,A_dice,16,bridge_only,0.5,1,0.83446,0.86712,24,12,-12
A_dice_s0,A_dice,16,bridge_only,0.75,2,0.83247,0.86674,22,12,-12
A_dice_s0,A_dice,16,bridge_only,1.0,3,0.82582,0.85972,19,12,-12
A_dice_s0,A_dice,16,bridge_only,1.5,4,0.81715,0.85425,17,12,-12
A_dice_s0,A_dice,16,bridge_only,2.0,6,0.78709,0.83338,14,10,-10
A_dice_s0,A_dice,17,closing,0.0,0,0.81812,0.83746,24,16,-16
A_dice_s0,A_dice,17,closing,0.25,1,0.81825,0.83823,17,31,-31
A_dice_s0,A_dice,17,closing,0.5,1,0.81825,0.83823,17,31,-31
A_dice_s0,A_dice,17,closing,0.75,2,0.81823,0.83839,16,30,-30
A_dice_s0,A_dice,17,closing,1.0,3,0.80984,0.83337,14,32,-32
A_dice_s0,A_dice,17,closing,1.5,4,0.80043,0.8228,11,34,-34
A_dice_s0,A_dice,17,closing,2.0,6,0.75733,0.79569,7,35,-35
A_dice_s0,A_dice,17,bridge_only,0.0,0,0.81812,0.83746,24,16,-16
A_dice_s0,A_dice,17,bridge_only,0.25,1,0.81778,0.83769,19,15,-15
A_dice_s0,A_dice,17,bridge_only,0.5,1,0.81778,0.83769,19,15,-15
A_dice_s0,A_dice,17,bridge_only,0.75,2,0.81782,0.83787,19,13,-13
A_dice_s0,A_dice,17,bridge_only,1.0,3,0.81338,0.83555,17,12,-12
A_dice_s0,A_dice,17,bridge_only,1.5,4,0.80617,0.8291,14,13,-13
A_dice_s0,A_dice,17,bridge_only,2.0,6,0.78026,0.81592,12,11,-11
A_dice_s0,A_dice,18,closing,0.0,0,0.82042,0.8723,16,5,-5
A_dice_s0,A_dice,18,closing,0.25,1,0.81894,0.86914,12,11,-11
A_dice_s0,A_dice,18,closing,0.5,1,0.81894,0.86914,12,11,-11
A_dice_s0,A_dice,18,closing,0.75,2,0.81285,0.86094,9,19,-19
A_dice_s0,A_dice,18,closing,1.0,3,0.80129,0.84876,8,22,-22
A_dice_s0,A_dice,18,closing,1.5,4,0.78831,0.84064,5,22,-22
A_dice_s0,A_dice,18,closing,2.0,6,0.7443,0.81502,4,19,-19
A_dice_s0,A_dice,18,bridge_only,0.0,0,0.82042,0.8723,16,5,-5
A_dice_s0,A_dice,18,bridge_only,0.25,1,0.82024,0.87242,12,5,-5
A_dice_s0,A_dice,18,bridge_only,0.5,1,0.82024,0.87242,12,5,-5
A_dice_s0,A_dice,18,bridge_only,0.75,2,0.818,0.87126,9,4,-4
A_dice_s0,A_dice,18,bridge_only,1.0,3,0.81315,0.86626,8,3,-3
A_dice_s0,A_dice,18,bridge_only,1.5,4,0.80581,0.86025,5,2,-2
A_dice_s0,A_dice,18,bridge_only,2.0,6,0.77027,0.83797,4,2,2
A_dice_s0,A_dice,19,closing,0.0,0,0.85652,0.88371,24,5,-5
A_dice_s0,A_dice,19,closing,0.25,1,0.85463,0.88258,20,7,-7
A_dice_s0,A_dice,19,closing,0.5,1,0.85463,0.88258,20,7,-7
A_dice_s0,A_dice,19,closing,0.75,2,0.84424,0.8737,14,6,-6
A_dice_s0,A_dice,19,closing,1.0,3,0.82448,0.85945,13,7,-7
A_dice_s0,A_dice,19,closing,1.5,4,0.80448,0.84391,9,10,-10
A_dice_s0,A_dice,19,closing,2.0,6,0.74235,0.80227,6,13,-13
A_dice_s0,A_dice,19,bridge_only,0.0,0,0.85652,0.88371,24,5,-5
A_dice_s0,A_dice,19,bridge_only,0.25,1,0.85569,0.88356,22,2,-2
A_dice_s0,A_dice,19,bridge_only,0.5,1,0.85569,0.88356,22,2,-2
A_dice_s0,A_dice,19,bridge_only,0.75,2,0.84982,0.87833,18,1,1
A_dice_s0,A_dice,19,bridge_only,1.0,3,0.83992,0.87185,17,0,0
A_dice_s0,A_dice,19,bridge_only,1.5,4,0.83114,0.86496,14,3,-3
A_dice_s0,A_dice,19,bridge_only,2.0,6,0.80245,0.84656,12,1,-1
A_dice_s0,A_dice,20,closing,0.0,0,0.80668,0.8428,34,4,-4
