run,config,image,min_size,band,breaks,gt_px,skel_px,dice,cldice,tprec,tsens
A_dice_s0,A_dice,20,20,Q1_dimmest,191,5411,1924,0.62867,0.65048,0.65444,0.64657
A_dice_s0,A_dice,20,20,Q2,19,7210,2225,0.81377,0.86645,0.80571,0.93708
A_dice_s0,A_dice,20,20,Q3,2,6951,2027,0.86867,0.94947,0.91369,0.98816
A_dice_s0,A_dice,20,20,Q4_clearest,0,4693,1197,0.93685,0.98063,0.962,1.0
A_dice_s1,A_dice,01,0,Q1_dimmest,190,4597,1791,0.57031,0.56924,0.56085,0.57789
A_dice_s1,A_dice,01,0,Q2,46,6946,2500,0.7863,0.82817,0.76725,0.8996
A_dice_s1,A_dice,01,0,Q3,11,8473,2538,0.86258,0.95348,0.93237,0.97557
A_dice_s1,A_dice,01,0,Q4_clearest,1,9424,2483,0.92641,0.98685,0.97597,0.99799
A_dice_s1,A_dice,01,20,Q1_dimmest,184,4597,1791,0.5768,0.58653,0.59903,0.57454
A_dice_s1,A_dice,01,20,Q2,43,6946,2500,0.78694,0.83099,0.77749,0.8924
A_dice_s1,A_dice,01,20,Q3,10,8473,2538,0.86419,0.95849,0.94348,0.974
A_dice_s1,A_dice,01,20,Q4_clearest,1,9424,2483,0.92641,0.98685,0.97597,0.99799
A_dice_s1,A_dice,02,0,Q1_dimmest,230,5691,1790,0.50695,0.49127,0.48981,0.49274
A_dice_s1,A_dice,02,0,Q2,34,6606,1861,0.80326,0.79596,0.73471,0.86835
A_dice_s1,A_dice,02,0,Q3,3,8662,2260,0.90247,0.94982,0.91368,0.98894
A_dice_s1,A_dice,02,0,Q4_clearest,0,12831,3378,0.96215,0.99347,0.98702,1.0
A_dice_s1,A_dice,02,20,Q1_dimmest,208,5691,1790,0.50523,0.48914,0.51344,0.46704
A_dice_s1,A_dice,02,20,Q2,30,6606,1861,0.8024,0.79404,0.74125,0.85492
A_dice_s1,A_dice,02,20,Q3,1,8662,2260,0.90401,0.95453,0.92244,0.98894
A_dice_s1,A_dice,02,20,Q4_clearest,0,12831,3378,0.96218,0.99361,0.98731,1.0
A_dice_s1,A_dice,03,0,Q1_dimmest,276,10358,3377,0.514,0.48719,0.55504,0.43411
A_dice_s1,A_dice,03,0,Q2,37,9353,2708,0.83437,0.85038,0.82464,0.87777
A_dice_s1,A_dice,03,0,Q3,3,8095,2089,0.93848,0.97216,0.96362,0.98085
A_dice_s1,A_dice,03,0,Q4_clearest,0,5087,1047,0.98844,0.99956,0.99912,1.0
A_dice_s1,A_dice,03,20,Q1_dimmest,250,10358,3377,0.5131,0.48624,0.58491,0.41605
A_dice_s1,A_dice,03,20,Q2,32,9353,2708,0.83404,0.84961,0.83421,0.86558
A_dice_s1,A_dice,03,20,Q3,3,8095,2089,0.9392,0.97422,0.96768,0.98085
A_dice_s1,A_dice,03,20,Q4_clearest,0,5087,1047,0.98844,0.99956,0.99912,1.0
A_dice_s1,A_dice,04,0,Q1_dimmest,231,7750,3035,0.51426,0.47017,0.6009,0.38616
A_dice_s1,A_dice,04,0,Q2,36,6017,1865,0.81321,0.83063,0.79006,0.8756
A_dice_s1,A_dice,04,0,Q3,1,6293,1680,0.91612,0.96105,0.94139,0.98155
A_dice_s1,A_dice,04,0,Q4_clearest,0,10294,2346,0.97219,0.99143,0.98342,0.99957
A_dice_s1,A_dice,04,20,Q1_dimmest,204,7750,3035,0.51166,0.46472,0.62459,0.37002
A_dice_s1,A_dice,04,20,Q2,33,6017,1865,0.81166,0.82709,0.80121,0.85469
A_dice_s1,A_dice,04,20,Q3,1,6293,1680,0.91563,0.95924,0.94175,0.97738
A_dice_s1,A_dice,04,20,Q4_clearest,0,10294,2346,0.97246,0.99185,0.98424,0.99957
A_dice_s1,A_dice,05,0,Q1_dimmest,281,9685,3539,0.49307,0.43624,0.57106,0.35292
A_dice_s1,A_dice,05,0,Q2,25,7440,2198,0.85541,0.85331,0.8291,0.87898
A_dice_s1,A_dice,05,0,Q3,1,7606,2186,0.93741,0.98089,0.96851,0.9936
A_dice_s1,A_dice,05,0,Q4_clearest,0,6179,1663,0.97458,0.99764,0.99708,0.9982
A_dice_s1,A_dice,05,20,Q1_dimmest,250,9685,3539,0.48687,0.42272,0.5799,0.33258
A_dice_s1,A_dice,05,20,Q2,21,7440,2198,0.85523,0.85317,0.83878,0.86806
A_dice_s1,A_dice,05,20,Q3,1,7606,2186,0.93738,0.98088,0.97023,0.99177
A_dice_s1,A_dice,05,20,Q4_clearest,0,6179,1663,0.97458,0.99764,0.99708,0.9982
A_dice_s1,A_dice,06,0,Q1_dimmest,336,10790,3981,0.4962,0.48367,0.63561,0.39035
A_dice_s1,A_dice,06,0,Q2,29,7933,2378,0.84446,0.83449,0.83807,0.83095
A_dice_s1,A_dice,06,0,Q3,4,7891,2229,0.94902,0.98526,0.97695,0.99372
A_dice_s1,A_dice,06,0,Q4_clearest,0,5502,1401,0.98073,0.99861,0.99722,1.0
A_dice_s1,A_dice,06,20,Q1_dimmest,287,10790,3981,0.48869,0.47095,0.66527,0.36448
A_dice_s1,A_dice,06,20,Q2,26,7933,2378,0.84358,0.83117,0.84758,0.81539
A_dice_s1,A_dice,06,20,Q3,2,7891,2229,0.94905,0.98502,0.9782,0.99192
A_dice_s1,A_dice,06,20,Q4_clearest,0,5502,1401,0.98073,0.99861,0.99722,1.0
A_dice_s1,A_dice,07,0,Q1_dimmest,214,8316,2808,0.48487,0.46844,0.60784,0.38105
A_dice_s1,A_dice,07,0,Q2,37,7149,2172,0.81824,0.81393,0.79752,0.83103
A_dice_s1,A_dice,07,0,Q3,6,7254,1955,0.92254,0.96386,0.94581,0.98261
A_dice_s1,A_dice,07,0,Q4_clearest,0,7433,2033,0.96957,0.99484,0.99118,0.99852
A_dice_s1,A_dice,07,20,Q1_dimmest,201,8316,2808,0.48582,0.46837,0.63794,0.37001
A_dice_s1,A_dice,07,20,Q2,31,7149,2172,0.8207,0.82135,0.82089,0.82182
A_dice_s1,A_dice,07,20,Q3,4,7254,1955,0.9232,0.96504,0.94904,0.98159
A_dice_s1,A_dice,07,20,Q4_clearest,0,7433,2033,0.96957,0.99484,0.99118,0.99852
A_dice_s1,A_dice,08,0,Q1_dimmest,282,9976,3245,0.53673,0.50404,0.60664,0.43112
A_dice_s1,A_dice,08,0,Q2,25,8461,2479,0.8563,0.85712,0.8288,0.88745
A_dice_s1,A_dice,08,0,Q3,8,6640,1970,0.93216,0.97099,0.96049,0.98173
A_dice_s1,A_dice,08,0,Q4_clearest,1,3312,891,0.97432,0.99393,0.99347,0.99439
A_dice_s1,A_dice,08,20,Q1_dimmest,235,9976,3245,0.53319,0.49838,0.64633,0.40555
A_dice_s1,A_dice,08,20,Q2,23,8461,2479,0.85512,0.85516,0.84184,0.8689
A_dice_s1,A_dice,08,20,Q3,7,6640,1970,0.93233,0.97121,0.9619,0.98071
A_dice_s1,A_dice,08,20,Q4_clearest,1,3312,891,0.97431,0.99337,0.99347,0.99327
A_dice_s1,A_dice,09,0,Q1_dimmest,262,9368,3406,0.55181,0.55507,0.64409,0.48767
A_dice_s1,A_dice,09,0,Q2,33,7639,2383,0.85873,0.87905,0.84418,0.91691
A_dice_s1,A_dice,09,0,Q3,0,6249,1936,0.94138,0.98018,0.96208,0.99897
A_dice_s1,A_dice,09,0,Q4_clearest,1,3485,1001,0.97911,0.99703,0.99806,0.996
A_dice_s1,A_dice,09,20,Q1_dimmest,238,9368,3406,0.55118,0.55718,0.67783,0.47299
A_dice_s1,A_dice,09,20,Q2,31,7639,2383,0.85862,0.88038,0.85172,0.91104
A_dice_s1,A_dice,09,20,Q3,0,6249,1936,0.94174,0.98147,0.96458,0.99897
A_dice_s1,A_dice,09,20,Q4_clearest,1,3485,1001,0.97925,0.99751,0.99903,0.996
A_dice_s1,A_dice,10,0,Q1_dimmest,284,7560,3177,0.5336,0.49649,0.54251,0.45766
A_dice_s1,A_dice,10,0,Q2,27,6756,2369,0.81679,0.81562,0.75836,0.88223
A_dice_s1,A_dice,10,0,Q3,0,6741,2035,0.90768,0.96104,0.93054,0.99361
A_dice_s1,A_dice,10,0,Q4_clearest,0,6099,1556,0.95806,0.9953,0.99064,1.0
A_dice_s1,A_dice,10,20,Q1_dimmest,265,7560,3177,0.53371,0.49825,0.56894,0.44319
A_dice_s1,A_dice,10,20,Q2,27,6756,2369,0.81632,0.81415,0.76213,0.87379
A_dice_s1,A_dice,10,20,Q3,0,6741,2035,0.90877,0.96415,0.93726,0.99263
A_dice_s1,A_dice,10,20,Q4_clearest,0,6099,1556,0.95821,0.99597,0.99197,1.0
A_dice_s1,A_dice,11,0,Q1_dimmest,296,6386,2930,0.48021,0.43776,0.50849,0.3843
A_dice_s1,A_dice,11,0,Q2,49,5601,2186,0.77916,0.75424,0.70245,0.81427
A_dice_s1,A_dice,11,0,Q3,9,6593,2129,0.86781,0.91239,0.86239,0.96853
A_dice_s1,A_dice,11,0,Q4_clearest,0,10959,3211,0.93753,0.98028,0.96219,0.99907
A_dice_s1,A_dice,11,20,Q1_dimmest,270,6386,2930,0.47724,0.43149,0.53152,0.36314
A_dice_s1,A_dice,11,20,Q2,42,5601,2186,0.77902,0.75532,0.71565,0.79963
A_dice_s1,A_dice,11,20,Q3,8,6593,2129,0.86884,0.91504,0.86905,0.96618
A_dice_s1,A_dice,11,20,Q4_clearest,0,10959,3211,0.93757,0.98044,0.96249,0.99907
A_dice_s1,A_dice,12,0,Q1_dimmest,203,6741,2151,0.56908,0.58053,0.60619,0.55695
A_dice_s1,A_dice,12,0,Q2,47,7686,2661,0.82183,0.84486,0.8054,0.88839
A_dice_s1,A_dice,12,0,Q3,3,7976,2374,0.9017,0.95903,0.93379,0.98568
A_dice_s1,A_dice,12,0,Q4_clearest,0,6087,1526,0.95576,0.99372,0.98752,1.0
A_dice_s1,A_dice,12,20,Q1_dimmest,185,6741,2151,0.57004,0.58901,0.64683,0.54068
A_dice_s1,A_dice,12,20,Q2,42,7686,2661,0.82205,0.84537,0.8139,0.87937
A_dice_s1,A_dice,12,20,Q3,3,7976,2374,0.90211,0.95976,0.93669,0.98399
A_dice_s1,A_dice,12,20,Q4_clearest,0,6087,1526,0.95568,0.99371,0.98751,1.0
A_dice_s1,A_dice,13,0,Q1_dimmest,267,8947,3161,0.53806,0.50591,0.56299,0.45935
A_dice_s1,A_dice,13,0,Q2,50,7970,2798,0.81413,0.79057,0.73657,0.85311
A_dice_s1,A_dice,13,0,Q3,4,7295,2120,0.9209,0.95848,0.93858,0.97925
A_dice_s1,A_dice,13,0,Q4_clearest,0,8047,2107,0.97651,0.99811,0.99622,1.0
A_dice_s1,A_dice,13,20,Q1_dimmest,231,8947,3161,0.53406,0.49596,0.5796,0.43341
