run,trained_on,image,band,n_px,contested_frac,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed,auroc
soft_f0_s0,soft,im0319,Q2,9867,0.40022,0.29455,0.21454,0.42969,0.79158,0.60161
soft_f0_s0,soft,im0319,Q3,6553,0.14894,0.30128,0.09178,0.70031,0.93565,0.81884
soft_f0_s0,soft,im0319,Q4_clearest,2090,0.01531,0.06928,0.01101,0.96536,0.99386,0.91762
soft_f0_s0,soft,im0324,Q1_dimmest,16445,0.70721,0.11184,0.25055,0.10696,0.32464,0.29473
soft_f0_s0,soft,im0324,Q2,14329,0.46563,0.23971,0.24164,0.29273,0.57745,0.48258
soft_f0_s0,soft,im0324,Q3,10272,0.21739,0.29778,0.14851,0.53218,0.79149,0.7137
soft_f0_s0,soft,im0324,Q4_clearest,4535,0.03462,0.21846,0.06239,0.83739,0.9288,0.82683
ah_f1_s0,ah,im0001,Q1_dimmest,11037,0.61131,0.1078,0.16989,0.13911,0.44663,0.34192
ah_f1_s0,ah,im0001,Q2,14223,0.41046,0.1926,0.13662,0.37929,0.72802,0.56822
ah_f1_s0,ah,im0001,Q3,13100,0.18954,0.21429,0.05774,0.62943,0.94284,0.77406
ah_f1_s0,ah,im0001,Q4_clearest,5805,0.0503,0.12947,0.01239,0.83233,0.99159,0.88336
ah_f1_s0,ah,im0002,Q1_dimmest,11892,0.72208,0.12207,0.12534,0.24635,0.63772,0.40352
ah_f1_s0,ah,im0002,Q2,9635,0.39938,0.18319,0.08535,0.58247,0.88917,0.66724
ah_f1_s0,ah,im0002,Q3,7577,0.21288,0.15296,0.03401,0.71705,0.97229,0.79206
ah_f1_s0,ah,im0002,Q4_clearest,4013,0.11612,0.10875,0.00944,0.89813,0.99347,0.85766
ah_f1_s0,ah,im0003,Q1_dimmest,5546,0.82726,0.07993,0.12005,0.14835,0.60461,0.30471
ah_f1_s0,ah,im0003,Q2,6828,0.65861,0.14327,0.08664,0.41938,0.84741,0.52458
ah_f1_s0,ah,im0003,Q3,9422,0.45426,0.1376,0.03586,0.70938,0.96051,0.7468
ah_f1_s0,ah,im0003,Q4_clearest,10750,0.18372,0.05928,0.00655,0.9043,0.99471,0.85196
ah_f1_s0,ah,im0004,Q1_dimmest,24672,0.64733,0.08054,0.15002,0.15867,0.49382,0.31006
ah_f1_s0,ah,im0004,Q2,12291,0.30551,0.15887,0.10746,0.49666,0.83786,0.57259
ah_f1_s0,ah,im0004,Q3,3923,0.10553,0.1045,0.02748,0.85107,0.97499,0.7997
ah_f1_s0,ah,im0004,Q4_clearest,190,0.07895,0.06802,0.00295,0.96599,0.99853,0.81638
ah_f1_s0,ah,im0005,Q1_dimmest,10820,0.81885,0.08299,0.1957,0.11112,0.37029,0.24756
ah_f1_s0,ah,im0005,Q2,11538,0.54481,0.16684,0.18418,0.32694,0.68167,0.44898
ah_f1_s0,ah,im0005,Q3,12507,0.29879,0.20771,0.11846,0.55379,0.86891,0.65437
ah_f1_s0,ah,im0005,Q4_clearest,16858,0.10802,0.12601,0.03242,0.84489,0.97626,0.73775
ah_f1_s0,ah,im0044,Q1_dimmest,10572,0.87476,0.0567,0.19366,0.06362,0.41255,0.20291
ah_f1_s0,ah,im0044,Q2,11459,0.63732,0.15026,0.19032,0.22263,0.67122,0.38417
ah_f1_s0,ah,im0044,Q3,14003,0.29108,0.22141,0.08786,0.48782,0.90424,0.69079
ah_f1_s0,ah,im0044,Q4_clearest,13856,0.09209,0.16338,0.02784,0.71321,0.97802,0.82153
ah_f1_s0,ah,im0077,Q1_dimmest,7126,0.88633,0.07727,0.183,0.0925,0.53648,0.2524
ah_f1_s0,ah,im0077,Q2,10714,0.77739,0.15652,0.18815,0.25434,0.73641,0.41097
ah_f1_s0,ah,im0077,Q3,14332,0.42862,0.23471,0.09782,0.45531,0.90871,0.71305
ah_f1_s0,ah,im0077,Q4_clearest,23814,0.09368,0.21974,0.02099,0.75012,0.984,0.91817
ah_f1_s0,ah,im0081,Q1_dimmest,10165,0.92514,0.05379,0.1717,0.0573,0.67322,0.21038
ah_f1_s0,ah,im0081,Q2,13744,0.77423,0.14345,0.16746,0.20797,0.76015,0.39713
ah_f1_s0,ah,im0081,Q3,17484,0.38183,0.23225,0.07519,0.48126,0.92644,0.73274
ah_f1_s0,ah,im0081,Q4_clearest,17465,0.06814,0.20753,0.01801,0.7927,0.98885,0.91041
ah_f1_s0,ah,im0082,Q1_dimmest,8734,0.861,0.04972,0.17835,0.05819,0.52071,0.18497
ah_f1_s0,ah,im0082,Q2,10144,0.70268,0.14437,0.19246,0.19844,0.66948,0.37962
ah_f1_s0,ah,im0082,Q3,13510,0.35729,0.26658,0.11757,0.42548,0.89453,0.7141
ah_f1_s0,ah,im0082,Q4_clearest,20602,0.06315,0.25493,0.02095,0.73988,0.98692,0.93268
ah_f1_s0,ah,im0139,Q1_dimmest,17354,0.86418,0.0867,0.16772,0.10971,0.47682,0.3076
ah_f1_s0,ah,im0139,Q2,17885,0.6463,0.17335,0.1596,0.3215,0.73663,0.48857
ah_f1_s0,ah,im0139,Q3,17437,0.2712,0.19747,0.07045,0.49995,0.92997,0.69102
ah_f1_s0,ah,im0139,Q4_clearest,12621,0.04255,0.20862,0.01226,0.71174,0.99219,0.90655
vk_f1_s0,vk,im0001,Q1_dimmest,11037,0.61131,0.21666,0.15019,0.41814,0.64539,0.5785
vk_f1_s0,vk,im0001,Q2,14223,0.41046,0.16113,0.06674,0.79517,0.90001,0.72259
vk_f1_s0,vk,im0001,Q3,13100,0.18954,0.05689,0.00872,0.93278,0.98838,0.82825
vk_f1_s0,vk,im0001,Q4_clearest,5805,0.0503,0.02918,0.00225,0.90254,0.99636,0.89312
vk_f1_s0,vk,im0002,Q1_dimmest,11892,0.72208,0.18034,0.11187,0.51215,0.86515,0.60969
vk_f1_s0,vk,im0002,Q2,9635,0.39938,0.10579,0.02272,0.85828,0.98073,0.78882
vk_f1_s0,vk,im0002,Q3,7577,0.21288,0.06413,0.00797,0.88992,0.99383,0.84197
vk_f1_s0,vk,im0002,Q4_clearest,4013,0.11612,0.06207,0.00934,0.90519,0.99279,0.85635
vk_f1_s0,vk,im0003,Q1_dimmest,5546,0.82726,0.14382,0.10465,0.38067,0.86241,0.53915
vk_f1_s0,vk,im0003,Q2,6828,0.65861,0.12153,0.02441,0.71574,0.97669,0.79259
vk_f1_s0,vk,im0003,Q3,9422,0.45426,0.06514,0.00686,0.87918,0.9948,0.81205
vk_f1_s0,vk,im0003,Q4_clearest,10750,0.18372,0.02274,0.00102,0.96801,0.99943,0.80526
vk_f1_s0,vk,im0004,Q1_dimmest,24672,0.64733,0.16824,0.12399,0.4062,0.82101,0.5575
vk_f1_s0,vk,im0004,Q2,12291,0.30551,0.13092,0.03014,0.83954,0.9748,0.76407
vk_f1_s0,vk,im0004,Q3,3923,0.10553,0.01908,0.0029,0.9871,0.99832,0.79592
vk_f1_s0,vk,im0004,Q4_clearest,190,0.07895,0.0452,0.00014,0.9774,0.99993,0.67638
vk_f1_s0,vk,im0005,Q1_dimmest,10820,0.81885,0.21725,0.21721,0.38755,0.70463,0.48391
vk_f1_s0,vk,im0005,Q2,11538,0.54481,0.19388,0.08192,0.73238,0.93371,0.71448
vk_f1_s0,vk,im0005,Q3,12507,0.29879,0.11368,0.02272,0.87338,0.98539,0.79455
vk_f1_s0,vk,im0005,Q4_clearest,16858,0.10802,0.03626,0.00309,0.9541,0.99828,0.82418
vk_f1_s0,vk,im0044,Q1_dimmest,10572,0.87476,0.16779,0.19615,0.26927,0.79041,0.43059
vk_f1_s0,vk,im0044,Q2,11459,0.63732,0.19205,0.07432,0.60997,0.94363,0.73241
vk_f1_s0,vk,im0044,Q3,14003,0.29108,0.12396,0.01985,0.83191,0.98663,0.82894
vk_f1_s0,vk,im0044,Q4_clearest,13856,0.09209,0.07314,0.00605,0.93166,0.99615,0.85418
vk_f1_s0,vk,im0077,Q1_dimmest,7126,0.88633,0.21279,0.12836,0.37978,0.84388,0.6068
vk_f1_s0,vk,im0077,Q2,10714,0.77739,0.20194,0.05275,0.6885,0.96217,0.7607
vk_f1_s0,vk,im0077,Q3,14332,0.42862,0.11396,0.01222,0.88404,0.99363,0.8424
vk_f1_s0,vk,im0077,Q4_clearest,23814,0.09368,0.03019,0.00162,0.9815,0.99919,0.89259
vk_f1_s0,vk,im0081,Q1_dimmest,10165,0.92514,0.18402,0.15616,0.27545,0.70695,0.53098
vk_f1_s0,vk,im0081,Q2,13744,0.77423,0.20532,0.06033,0.6204,0.95239,0.77474
vk_f1_s0,vk,im0081,Q3,17484,0.38183,0.11875,0.01178,0.86863,0.99118,0.86625
vk_f1_s0,vk,im0081,Q4_clearest,17465,0.06814,0.02757,0.00175,0.97751,0.99906,0.8914
vk_f1_s0,vk,im0082,Q1_dimmest,8734,0.861,0.16302,0.16074,0.25625,0.79293,0.44176
vk_f1_s0,vk,im0082,Q2,10144,0.70268,0.21523,0.07489,0.61888,0.91902,0.73832
vk_f1_s0,vk,im0082,Q3,13510,0.35729,0.12435,0.02008,0.8715,0.98473,0.83616
vk_f1_s0,vk,im0082,Q4_clearest,20602,0.06315,0.02927,0.0022,0.97655,0.99855,0.89508
vk_f1_s0,vk,im0139,Q1_dimmest,17354,0.86418,0.21079,0.14868,0.37451,0.81346,0.57311
vk_f1_s0,vk,im0139,Q2,17885,0.6463,0.1864,0.05336,0.70809,0.9558,0.7682
vk_f1_s0,vk,im0139,Q3,17437,0.2712,0.10787,0.01125,0.82465,0.98968,0.84886
vk_f1_s0,vk,im0139,Q4_clearest,12621,0.04255,0.0486,0.00178,0.94215,0.99891,0.91934
soft_f1_s0,soft,im0001,Q1_dimmest,11037,0.61131,0.24982,0.23318,0.2975,0.5685,0.50358
soft_f1_s0,soft,im0001,Q2,14223,0.41046,0.29317,0.13588,0.63173,0.81936,0.72531
soft_f1_s0,soft,im0001,Q3,13100,0.18954,0.18342,0.03582,0.84538,0.97114,0.8441
soft_f1_s0,soft,im0001,Q4_clearest,5805,0.0503,0.08869,0.0059,0.88219,0.99644,0.91481
soft_f1_s0,soft,im0002,Q1_dimmest,11892,0.72208,0.24909,0.16711,0.42833,0.8099,0.57143
soft_f1_s0,soft,im0002,Q2,9635,0.39938,0.19925,0.05342,0.76551,0.95717,0.78714
soft_f1_s0,soft,im0002,Q3,7577,0.21288,0.11357,0.01709,0.82872,0.98272,0.86598
soft_f1_s0,soft,im0002,Q4_clearest,4013,0.11612,0.10778,0.00936,0.88275,0.9917,0.88634
soft_f1_s0,soft,im0003,Q1_dimmest,5546,0.82726,0.18597,0.17384,0.28583,0.79658,0.45978
soft_f1_s0,soft,im0003,Q2,6828,0.65861,0.2051,0.06964,0.59557,0.94314,0.73864
soft_f1_s0,soft,im0003,Q3,9422,0.45426,0.12492,0.02184,0.81573,0.98521,0.83977
soft_f1_s0,soft,im0003,Q4_clearest,10750,0.18372,0.05886,0.00411,0.92233,0.99701,0.86694
soft_f1_s0,soft,im0004,Q1_dimmest,24672,0.64733,0.19075,0.20865,0.29965,0.7292,0.44477
soft_f1_s0,soft,im0004,Q2,12291,0.30551,0.22463,0.0782,0.71627,0.93927,0.75403
